cf,name,last_name,birthdate,gender,city,gen1,gen2,partner_of
MRCLRA04M13H620L,Lara,Muraci,2004-08-13,F,ROVIGO,GSTSML84E08H620O,MRCNCN81L03A345W,
MRMSDR06T12A345Q,Sandrina,Maremonti,2006-12-12,F,L'AQUILA,DPRCMN82L06A345X,MRMMRG88E19G702J,
MRMSST07E15A345B,Sebastiana,Maremonti,2007-05-15,F,L'AQUILA,DPRCMN82L06A345X,MRMMRG88E19G702J,
MRMNFR08D18A345A,Onofrio,Maremonti,2008-04-18,M,L'AQUILA,DPRCMN82L06A345X,MRMMRG88E19G702J,
MRMSCN08H29A345G,Ascanio,Maremonti,2008-06-29,M,L'AQUILA,DPRCMN82L06A345X,MRMMRG88E19G702J,
MRMCDD08D11A345C,Candido,Maremonti,2008-04-11,M,L'AQUILA,DPRCMN82L06A345X,MRMMRG88E19G702J,
MRMLRT07H26D548Q,Loreto,Maremonti,2007-06-26,M,FERRARA,BNDRRT87R29D548E,MRMLRD86P17G702T,
MRMSST07E07D548T,Sebastiana,Maremonti,2007-05-07,F,FERRARA,BNDRRT87R29D548E,MRMLRD86P17G702T,
MRMRGR07P22D548D,Ruggero,Maremonti,2007-09-22,M,FERRARA,BNDRRT87R29D548E,MRMLRD86P17G702T,
MRMMMM08E24D548H,Mimmo,Maremonti,2008-05-24,M,FERRARA,BNDRRT87R29D548E,MRMLRD86P17G702T,
MRMFDL07C06I480A,Fedele,Maremonti,2007-03-06,M,SAVONA,CSNVCN86T23I480A,MRMNLM86E17G702G,
MRMLRG07T17I480O,Alberigo,Maremonti,2007-12-17,M,SAVONA,CSNVCN86T23I480A,MRMNLM86E17G702G,
MRMNBL06T24H163Z,Annibale,Maremonti,2006-12-24,M,RAGUSA,TRMLVN88E28H163E,MRMPMP88E04G702S,
TRMPRN08P24G702G,Pierina,Tramacere,2008-09-24,F,PISA,MRMMAI85H28G702I,TRMNEE88L05H163J,
TRMDRA07E30G702F,Dario,Tramacere,2007-05-30,M,PISA,MRMMAI85H28G702I,TRMNEE88L05H163J,
TRMVLI08E14G702I,Viola,Tramacere,2008-05-14,F,PISA,MRMMAI85H28G702I,TRMNEE88L05H163J,
TRMLVO08A29G702P,Oliva,Tramacere,2008-01-29,F,PISA,MRMMAI85H28G702I,TRMNEE88L05H163J,
MRMLND07M21H163F,Linda,Maremonti,2007-08-21,F,RAGUSA,BRCMRK88A11H163X,MRMCRL84A09G702R,
MRMGPR08E27H163G,Gaspare,Maremonti,2008-05-27,M,RAGUSA,BRCMRK88A11H163X,MRMCRL84A09G702R,
TRMLND07R31H224V,Lindo,Tramacere,2007-10-31,M,REGGIO DI CALABRIA,DPRSLV86D06H224N,TRMCMN88L28H163Y,
TRMMRN08C27G702N,Moreno,Tramacere,2008-03-27,M,PISA,MRMRNI87E23G702O,TRMLRD84C28H163K,
TRMSDI07S18G702U,Iside,Tramacere,2007-11-18,F,PISA,MRMRNI87E23G702O,TRMLRD84C28H163K,
TRMTTI07P29G702W,Tito,Tramacere,2007-09-29,M,PISA,MRMRNI87E23G702O,TRMLRD84C28H163K,
TRMGST08C24G702J,Egisto,Tramacere,2008-03-24,M,PISA,MRMRNI87E23G702O,TRMLRD84C28H163K,
TRMDRO07C08G702E,Dora,Tramacere,2007-03-08,F,PISA,MRMRNI87E23G702O,TRMLRD84C28H163K,
TRMBTL07P08H163V,Bartolomeo,Tramacere,2007-09-08,M,RAGUSA,TRMVNI88D04H163F,TRMMLN88P17L840F,
TRMGRT08L06H163A,Greta,Tramacere,2008-07-06,F,RAGUSA,TRMVNI88D04H163F,TRMMLN88P17L840F,
TRMCST08A20H163L,Cristiano,Tramacere,2008-01-20,M,RAGUSA,TRMVNI88D04H163F,TRMMLN88P17L840F,
TRMVNT08P30I480V,Violante,Tramacere,2008-09-30,F,SAVONA,CSNDTL83T04I480M,TRMLLE86T12L840S,
TRMSNL07M19I480Q,Serenella,Tramacere,2007-08-19,F,SAVONA,CSNDTL83T04I480M,TRMLLE86T12L840S,
TRMGRL08B06I480U,Gabriella,Tramacere,2008-02-06,F,SAVONA,CSNDTL83T04I480M,TRMLLE86T12L840S,
TRMGDL08A28A345Y,Guendalina,Tramacere,2008-01-28,F,L'AQUILA,MDRGDI78T17A345B,TRMMLN88P27L840G,
TRMGZN07R27A345U,Graziano,Tramacere,2007-10-27,M,L'AQUILA,MDRGDI78T17A345B,TRMMLN88P27L840G,
DPRLCU07B23A345D,Luca,Diprima,2007-02-23,M,L'AQUILA,DPRWND82C22A345C,DPRMRZ87P01H224X,
GSTLNZ03E09G702J,Lorenzo,Giusto,2003-05-09,M,PISA,MRMDLA86A13G702S,GSTFTN84D07H163Q,
GSTFBL06H04G702U,Fabiola,Giusto,2006-06-04,F,PISA,MRMDLA86A13G702S,GSTFTN84D07H163Q,
GSTVVN05T19G702F,Viviano,Giusto,2005-12-19,M,PISA,MRMDLA86A13G702S,GSTFTN84D07H163Q,
GSTSRG03P12G702Q,Sergia,Giusto,2003-09-12,F,PISA,MRMDLA86A13G702S,GSTFTN84D07H163Q,
GSTPLP04E26G702K,Penelope,Giusto,2004-05-26,F,PISA,MRMDLA86A13G702S,GSTFTN84D07H163Q,
GSTRZO07H29G702V,Orazio,Giusto,2007-06-29,M,PISA,MRMRMN85T13G702T,GSTCLS87T10H163D,
GSTTLI08A23H224Q,Italo,Giusto,2008-01-23,M,REGGIO DI CALABRIA,CSNMRG87R29H224T,GSTGNZ87R22H620I,
GSTNTA08P27H224Y,Anita,Giusto,2008-09-27,F,REGGIO DI CALABRIA,CSNMRG87R29H224T,GSTGNZ87R22H620I,
GSTDNL07H27H224S,Daniele,Giusto,2007-06-27,M,REGGIO DI CALABRIA,CSNMRG87R29H224T,GSTGNZ87R22H620I,
GSTMLL08E03H224S,Mirella,Giusto,2008-05-03,F,REGGIO DI CALABRIA,CSNMRG87R29H224T,GSTGNZ87R22H620I,
DPRLLE99H18A345K,Lelio,Diprima,1999-06-18,M,L'AQUILA,MDRRNI81T17A345U,DPRWTR80A16A345N,
DPRVLI01P16A345E,Viola,Diprima,2001-09-16,F,L'AQUILA,MDRRNI81T17A345U,DPRWTR80A16A345N,
BNDYND06B25A345J,Yolanda,Benedusi,2006-02-25,F,L'AQUILA,DPRGRG80P10A345U,BNDPCR84B18H620V,
BNDNBL06D24A345P,Annabella,Benedusi,2006-04-24,F,L'AQUILA,DPRGRG80P10A345U,BNDPCR84B18H620V,
BNDVEA07E20A345Q,Eva,Benedusi,2007-05-20,F,L'AQUILA,ZNZCHR88L12A345A,BNDGMN88A31D548X,
BNDPSQ08B04A345B,Pasqua,Benedusi,2008-02-04,F,L'AQUILA,ZNZCHR88L12A345A,BNDGMN88A31D548X,
BNDNMO08E29A345A,Noemi,Benedusi,2008-05-29,F,L'AQUILA,ZNZCHR88L12A345A,BNDGMN88A31D548X,
BNDMND07H27A345T,Amanda,Benedusi,2007-06-27,F,L'AQUILA,ZNZCHR88L12A345A,BNDGMN88A31D548X,
BNDFRZ02S25G702M,Fabrizia,Benedusi,2002-11-25,F,PISA,MRMCLN84E04G702L,BNDNEE86L19D548G,
BNDRCL06E01G702T,Ercole,Benedusi,2006-05-01,M,PISA,MRMCLN84E04G702L,BNDNEE86L19D548G,
BNDNEE06A22G702L,Enea,Benedusi,2006-01-22,M,PISA,MRMCLN84E04G702L,BNDNEE86L19D548G,
BNDDNC07L31I480I,Domenica,Benedusi,2007-07-31,F,SAVONA,CSNLSN87B14I480L,BNDFNC87E04D548A,
BNDCST08E30I480X,Celeste,Benedusi,2008-05-30,F,SAVONA,CSNLSN87B14I480L,BNDFNC87E04D548A,
BNDNLT07R03I480B,Nicoletta,Benedusi,2007-10-03,F,SAVONA,CSNLSN87B14I480L,BNDFNC87E04D548A,
BNDCPI07L11I480U,Iacopo,Benedusi,2007-07-11,M,SAVONA,CSNLSN87B14I480L,BNDFNC87E04D548A,
BNDSNT08E29I480O,Assunta,Benedusi,2008-05-29,F,SAVONA,CSNLSN87B14I480L,BNDFNC87E04D548A,
BNDFTN07M16H163K,Fortunato,Benedusi,2007-08-16,M,RAGUSA,GSTCNZ88R24H163E,BNDLVI86E05D548F,
BNDFNC07A04H163H,Francesca,Benedusi,2007-01-04,F,RAGUSA,GSTCNZ88R24H163E,BNDLVI86E05D548F,
BNDLGR08M17H163Y,Allegra,Benedusi,2008-08-17,F,RAGUSA,GSTCNZ88R24H163E,BNDLVI86E05D548F,
BNDVLM08A18H163D,Vilma,Benedusi,2008-01-18,F,RAGUSA,GSTCNZ88R24H163E,BNDLVI86E05D548F,
BNDSDR07D09H163O,Sandra,Benedusi,2007-04-09,F,RAGUSA,GSTCNZ88R24H163E,BNDLVI86E05D548F,
BNDSLD07A30G702I,Osvaldo,Benedusi,2007-01-30,M,PISA,ZNZNTL87A31G702Z,BNDMRZ85C12A345U,
BNDLRZ08H20G702R,Lucrezia,Benedusi,2008-06-20,F,PISA,ZNZNTL87A31G702Z,BNDMRZ85C12A345U,
BNDCSM07E09G702I,Cosima,Benedusi,2007-05-09,F,PISA,ZNZNTL87A31G702Z,BNDMRZ85C12A345U,
BNDGND07R01A662N,Giocondo,Benedusi,2007-10-01,M,BARI,MRMDRN85H20A662R,BNDDNL88B14A345L,
BNDDLA08R23A662B,Dalia,Benedusi,2008-10-23,F,BARI,MRMDRN85H20A662R,BNDDNL88B14A345L,
ZNZDVD08H07H224L,Davide,Zanzo,2008-06-07,M,REGGIO DI CALABRIA,DPRRMR86S17H224E,ZNZLDL84D01A345M,
ZNZRND08L23A662R,Orlando,Zanzo,2008-07-23,M,BARI,CSNDVG87C30A662T,ZNZTCR84E10A345C,
ZNZLRC08M12A662J,Ulderica,Zanzo,2008-08-12,F,BARI,CSNDVG87C30A662T,ZNZTCR84E10A345C,
CSNNVE08A21H163Y,Nevio,Cesano,2008-01-21,M,RAGUSA,BRCLRT87L30H163K,CSNCTN85L15I480K,
CSNLRA08H03H163L,Lara,Cesano,2008-06-03,F,RAGUSA,BRCLRT87L30H163K,CSNCTN85L15I480K,
CSNCSS08B01H163A,Cassio,Cesano,2008-02-01,M,RAGUSA,BRCTEA87A04H163C,CSNSMN88B27I480I,
CSNMRC07M23H163Q,Americo,Cesano,2007-08-23,M,RAGUSA,BRCTEA87A04H163C,CSNSMN88B27I480I,
CSNCLN07T08H163T,Carolina,Cesano,2007-12-08,F,RAGUSA,BRCTEA87A04H163C,CSNSMN88B27I480I,
CSNCSR08H10H163S,Cesare,Cesano,2008-06-10,M,RAGUSA,BRCTEA87A04H163C,CSNSMN88B27I480I,
CSNLDN08M09H163M,Aldino,Cesano,2008-08-09,M,RAGUSA,BRCTEA87A04H163C,CSNSMN88B27I480I,
CSNSNN07B12D548R,Susanna,Cesano,2007-02-12,F,FERRARA,BNDFSC85H03D548W,CSNRTD88H06I480G,
CSNCST08C30D548D,Cristoforo,Cesano,2008-03-30,M,FERRARA,BNDFSC85H03D548W,CSNRTD88H06I480G,
CSNDLU08L07D548J,Duilio,Cesano,2008-07-07,M,FERRARA,BNDFSC85H03D548W,CSNRTD88H06I480G,
CSNRLN07T27D548B,Rosalinda,Cesano,2007-12-27,F,FERRARA,BNDFSC85H03D548W,CSNRTD88H06I480G,
CSNVTT04R15I480U,Vanetta,Cesano,2004-10-15,F,SAVONA,CSNPMP85S06I480M,CSNCRL84D11H224O,
CSNLLL05H28I480J,Lello,Cesano,2005-06-28,M,SAVONA,CSNPMP85S06I480M,CSNCRL84D11H224O,
MDRMCL03M16H224O,Micol,Amadore,2003-08-16,F,REGGIO DI CALABRIA,CSNMCL84P08H224J,MDRGNR81T30A345E,
MDRCST06D26H224M,Cristina,Amadore,2006-04-26,F,REGGIO DI CALABRIA,CSNMCL84P08H224J,MDRGNR81T30A345E,
MDRCML06D01H224T,Carmelo,Amadore,2006-04-01,M,REGGIO DI CALABRIA,CSNMCL84P08H224J,MDRGNR81T30A345E,
MDRDLL06M05H224E,Dalila,Amadore,2006-08-05,F,REGGIO DI CALABRIA,CSNMCL84P08H224J,MDRGNR81T30A345E,
MDRBRC06M12H224Q,Beatrice,Amadore,2006-08-12,F,REGGIO DI CALABRIA,CSNMCL84P08H224J,MDRGNR81T30A345E,
CSNMLI07T11A662M,Milo,Cesano,2007-12-11,M,BARI,BRCNTL88P28A662H,CSNGLL87B20H224M,
CSNLCN08B05A662Q,Luciana,Cesano,2008-02-05,F,BARI,BRCNTL88P28A662H,CSNGLL87B20H224M,
CSNGLL07L17A662Q,Guglielmo,Cesano,2007-07-17,M,BARI,BRCNTL88P28A662H,CSNGLL87B20H224M,
CSNLRD06A21A345V,Leonardo,Cesano,2006-01-21,M,L'AQUILA,MDRLRC83H21A345L,CSNLND86H26H224D,
CSNMRO03A13A345K,Moira,Cesano,2003-01-13,F,L'AQUILA,MDRLRC83H21A345L,CSNLND86H26H224D,
MDRMND05C03H163Y,Amanda,Amadore,2005-03-03,F,RAGUSA,GSTDRO85H27H163W,MDRLCL79L10A345I,
MDRMRM06C10H163R,Miriam,Amadore,2006-03-10,F,RAGUSA,GSTDRO85H27H163W,MDRLCL79L10A345I,
MDRPSQ03H26H163A,Pasqua,Amadore,2003-06-26,F,RAGUSA,GSTDRO85H27H163W,MDRLCL79L10A345I,
CLLCLD27B19E783V,Cataldo,Calledda,1927-02-19,M,MACERATA,,,CMMLCU38P23E783E
SPRCST21H10E463P,Cristoforo,Spuri,1921-06-10,M,LA SPEZIA,,,LTTCRL31B09E463J
GTABSL28B16A757X,Basilio,Gaito,1928-02-16,M,BELLUNO,,,MRNRKE40A18L781O
PFNSDI21T17A859O,Iside,Pafundi,1921-12-17,F,BIELLA,,,MNNGBB27P04L219Q
LTAPRM33P20E463X,Primo,Laita,1933-09-20,M,LA SPEZIA,,,TSTCNL34H08E463W
PCCLLD13S16F979J,Leopoldo,Poccia,1913-11-16,M,NUORO,,,DRGMGN34B08F979H
ZNGCRN19M23A345E,Caterino,Zangrande,1919-08-23,M,L'AQUILA,,,MRLMDA35T23G942Z
GRPRND24M26C573S,Armando,Greppo,1924-08-26,M,CESENA,,,LVZGLR25B03C573R
CRMDNL25M06H294R,Danilo,Cremasco,1925-08-06,M,RIMINI,,,ZNLDLN43H10D704Q
CCTLIO31D17H501O,Iole,Accetturo,1931-04-17,F,ROMA,,,CRSLRD14A09H282D
MNDMMM22R21L424Y,Mimmo,Mandurino,1922-10-21,M,TRIESTE,,,RLTSRN29A06L424D
BNFMLD28C29E098P,Mafalda,Bonfante,1928-03-29,F,GORIZIA,,,SMRLVR31S24G888X
TSSLND22L01D643O,Olindo,Tessitori,1922-07-01,M,FOGGIA,,,DNILNI32C05B180L
CLRBGD32E20L682Z,Brigida,Clerici,1932-05-20,F,VARESE,,,PVLBSL42D28L682A
LMBNRN21S18D223B,Nazarena,Lombardo,1921-11-18,F,OSSOLA,,,LVSCLD29S01L500T
CMMLCU38P23E783E,Lucia,Cammaroti,1938-09-23,F,MACERATA,,,CLLCLD27B19E783V
LTTCRL31B09E463J,Carla,Lattuca,1931-02-09,F,LA SPEZIA,,,SPRCST21H10E463P
MRNRKE40A18L781O,Erika,Morino,1940-01-18,F,VERONA,,,GTABSL28B16A757X
MNNGBB27P04L219Q,Giobbe,Menini,1927-09-04,M,TORINO,,,PFNSDI21T17A859O
TSTCNL34H08E463W,Cornelia,Testori,1934-06-08,F,LA SPEZIA,,,LTAPRM33P20E463X
DRGMGN34B08F979H,Morgana,De Regis,1934-02-08,F,NUORO,,,PCCLLD13S16F979J
MRLMDA35T23G942Z,Amedea,Amarelli,1935-12-23,F,POTENZA,,,ZNGCRN19M23A345E
LVZGLR25B03C573R,Gloria,Lavizzari,1925-02-03,F,CESENA,,,GRPRND24M26C573S
ZNLDLN43H10D704Q,Adelina,Zanella,1943-06-10,F,FORLI,,,CRMDNL25M06H294R
CRSLRD14A09H282D,Alfredino,Crescenzo,1914-01-09,M,RIETI,,,CCTLIO31D17H501O
RLTSRN29A06L424D,Serena,Arlati,1929-01-06,F,TRIESTE,,,MNDMMM22R21L424Y
SMRLVR31S24G888X,Alvaro,Samari,1931-11-24,M,PORDENONE,,,BNFMLD28C29E098P
DNILNI32C05B180L,Ilenia,Diana,1932-03-05,F,BRINDISI,,,TSSLND22L01D643O
PVLBSL42D28L682A,Basilio,Povoli,1942-04-28,M,VARESE,,,CLRBGD32E20L682Z
LVSCLD29S01L500T,Cataldo,Lovisetto,1929-11-01,M,URBINO,,,LMBNRN21S18D223B
CLLDVG55R22E783E,Edvige,Calledda,1955-10-22,F,MACERATA,CLLCLD27B19E783V,CMMLCU38P23E783E,LTADNC55S03E463I
SPRPNI50E21E463Y,Pina,Spuri,1950-05-21,F,LA SPEZIA,SPRCST21H10E463P,LTTCRL31B09E463J,CRSCSS50L15H501N
SPRVGL51E09E463W,Virgilio,Spuri,1951-05-09,M,LA SPEZIA,SPRCST21H10E463P,LTTCRL31B09E463J,TSSSNO51E02D643X
SPRLND48S14E463E,Linda,Spuri,1948-11-14,F,LA SPEZIA,SPRCST21H10E463P,LTTCRL31B09E463J,ZNGNEE57E18A345U
SPRGGI50P01E463C,Gigi,Spuri,1950-09-01,M,LA SPEZIA,SPRCST21H10E463P,LTTCRL31B09E463J,TSSRNN50L02D643P
SPRGTR51S02E463Z,Gualtiero,Spuri,1951-11-02,M,LA SPEZIA,SPRCST21H10E463P,LTTCRL31B09E463J,CRMGLD62B20H294Z
SPRVIO52E19E463F,Ivo,Spuri,1952-05-19,M,LA SPEZIA,SPRCST21H10E463P,LTTCRL31B09E463J,TSSGNE50T31D643D
SPRVCN53R21E463W,Vincenzo,Spuri,1953-10-21,M,LA SPEZIA,SPRCST21H10E463P,LTTCRL31B09E463J,MNDMME51C19L424O
SPRZTI49D08E463W,Zita,Spuri,1949-04-08,F,LA SPEZIA,SPRCST21H10E463P,LTTCRL31B09E463J,PVLCRI60H30L682R
SPRPSC50L20E463G,Priscilla,Spuri,1950-07-20,F,LA SPEZIA,SPRCST21H10E463P,LTTCRL31B09E463J,
SPRRBN51A28E463X,Rubina,Spuri,1951-01-28,F,LA SPEZIA,SPRCST21H10E463P,LTTCRL31B09E463J,LTANBL58D03E463F
GTALRD60C15A757A,Leonardo,Gaito,1960-03-15,M,BELLUNO,GTABSL28B16A757X,MRNRKE40A18L781O,CRSSVG52C08H501X
GTAPRI60B12A757W,Piera,Gaito,1960-02-12,F,BELLUNO,GTABSL28B16A757X,MRNRKE40A18L781O,CRSTTI50C04H501S
GTAPNI60R13A757S,Pino,Gaito,1960-10-13,M,BELLUNO,GTABSL28B16A757X,MRNRKE40A18L781O,PVLMLA59L07L682W
GTALTZ62B04A757U,Letizia,Gaito,1962-02-04,F,BELLUNO,GTABSL28B16A757X,MRNRKE40A18L781O,MNNBGI46M11A859Y
MNNLNZ48R29A859S,Lorenzo,Menini,1948-10-29,M,BIELLA,PFNSDI21T17A859O,MNNGBB27P04L219Q,LVSMRC50E07D223L
MNNGNZ43T12A859X,Ignazio,Menini,1943-12-12,M,BIELLA,PFNSDI21T17A859O,MNNGBB27P04L219Q,SMRFLV49R09E098M
MNNVNT45E07A859O,Violante,Menini,1945-05-07,F,BIELLA,PFNSDI21T17A859O,MNNGBB27P04L219Q,LTACLD57B15E463P
MNNBGI46M11A859Y,Biagio,Menini,1946-08-11,M,BIELLA,PFNSDI21T17A859O,MNNGBB27P04L219Q,GTALTZ62B04A757U
MNNBSL48M06A859O,Basilio,Menini,1948-08-06,M,BIELLA,PFNSDI21T17A859O,MNNGBB27P04L219Q,PVLBGD62A15L682O
MNNCAI43S24A859M,Caio,Menini,1943-11-24,M,BIELLA,PFNSDI21T17A859O,MNNGBB27P04L219Q,CRSLVO49R13H501T
MNNSRA47H01A859Z,Sara,Menini,1947-06-01,F,BIELLA,PFNSDI21T17A859O,MNNGBB27P04L219Q,SMRCRN52A09E098V
MNNMRZ45L21A859F,Maurizio,Menini,1945-07-21,M,BIELLA,PFNSDI21T17A859O,MNNGBB27P04L219Q,LVSLNE51M03D223Y
MNNMRA46C05A859T,Maria,Menini,1946-03-05,F,BIELLA,PFNSDI21T17A859O,MNNGBB27P04L219Q,
MNNWNN44M05A859N,Wanna,Menini,1944-08-05,F,BIELLA,PFNSDI21T17A859O,MNNGBB27P04L219Q,CRMNDR61M20H294O
LTACLD57B15E463P,Cataldo,Laita,1957-02-15,M,LA SPEZIA,LTAPRM33P20E463X,TSTCNL34H08E463W,MNNVNT45E07A859O
LTANNE58A01E463F,Ennio,Laita,1958-01-01,M,LA SPEZIA,LTAPRM33P20E463X,TSTCNL34H08E463W,MNDMMM52C18L424V
LTANLT56R13E463R,Nicoletta,Laita,1956-10-13,F,LA SPEZIA,LTAPRM33P20E463X,TSTCNL34H08E463W,PCCMCR55R25F979J
LTAFCN54M07E463V,Feliciano,Laita,1954-08-07,M,LA SPEZIA,LTAPRM33P20E463X,TSTCNL34H08E463W,ZNGMLE58H25A345S
LTANBL58D03E463F,Annibale,Laita,1958-04-03,M,LA SPEZIA,LTAPRM33P20E463X,TSTCNL34H08E463W,SPRRBN51A28E463X
LTARME57P08E463B,Remo,Laita,1957-09-08,M,LA SPEZIA,LTAPRM33P20E463X,TSTCNL34H08E463W,SMRRTT52H12E098X
LTARST54C30E463U,Ernesto,Laita,1954-03-30,M,LA SPEZIA,LTAPRM33P20E463X,TSTCNL34H08E463W,CRMLRI63R26H294K
LTADNC55S03E463I,Domenico,Laita,1955-11-03,M,LA SPEZIA,LTAPRM33P20E463X,TSTCNL34H08E463W,CLLDVG55R22E783E
LTANRC55T20E463E,Enrica,Laita,1955-12-20,F,LA SPEZIA,LTAPRM33P20E463X,TSTCNL34H08E463W,CRSMLN50D22H501G
PCCMCR55R25F979J,Amilcare,Poccia,1955-10-25,M,NUORO,PCCLLD13S16F979J,DRGMGN34B08F979H,LTANLT56R13E463R
ZNGPPN56P23A345H,Peppina,Zangrande,1956-09-23,F,L'AQUILA,ZNGCRN19M23A345E,MRLMDA35T23G942Z,
ZNGLSU55C10A345N,Luisa,Zangrande,1955-03-10,F,L'AQUILA,ZNGCRN19M23A345E,MRLMDA35T23G942Z,MNDWTR48S20L424Y
ZNGMLE58H25A345S,Emilia,Zangrande,1958-06-25,F,L'AQUILA,ZNGCRN19M23A345E,MRLMDA35T23G942Z,LTAFCN54M07E463V
ZNGYNN55S24A345R,Yvonne,Zangrande,1955-11-24,F,L'AQUILA,ZNGCRN19M23A345E,MRLMDA35T23G942Z,GRPMTT47H14C573W
ZNGNEE57E18A345U,Enea,Zangrande,1957-05-18,M,L'AQUILA,ZNGCRN19M23A345E,MRLMDA35T23G942Z,SPRLND48S14E463E
ZNGVTR58A30A345X,Vittoriano,Zangrande,1958-01-30,M,L'AQUILA,ZNGCRN19M23A345E,MRLMDA35T23G942Z,PVLSRN59H18L682J
ZNGLRZ55S10A345V,Lucrezio,Zangrande,1955-11-10,M,L'AQUILA,ZNGCRN19M23A345E,MRLMDA35T23G942Z,LVSVDN52M25D223N
GRPMTT47H14C573W,Matteo,Greppo,1947-06-14,M,CESENA,GRPRND24M26C573S,LVZGLR25B03C573R,ZNGYNN55S24A345R
CRMLRI63R26H294K,Ilaria,Cremasco,1963-10-26,F,RIMINI,CRMDNL25M06H294R,ZNLDLN43H10D704Q,LTARST54C30E463U
CRMGLD62B20H294Z,Gilda,Cremasco,1962-02-20,F,RIMINI,CRMDNL25M06H294R,ZNLDLN43H10D704Q,SPRGTR51S02E463Z
CRMBRN62D26H294D,Bruno,Cremasco,1962-04-26,M,RIMINI,CRMDNL25M06H294R,ZNLDLN43H10D704Q,SMRSFO52S12E098N
CRMNDR61M20H294O,Andrea,Cremasco,1961-08-20,M,RIMINI,CRMDNL25M06H294R,ZNLDLN43H10D704Q,MNNWNN44M05A859N
CRMLIO58S23H294A,Iole,Cremasco,1958-11-23,F,RIMINI,CRMDNL25M06H294R,ZNLDLN43H10D704Q,PVLPCR63H05L682W
CRSCSS50L15H501N,Cassio,Crescenzo,1950-07-15,M,ROMA,CCTLIO31D17H501O,CRSLRD14A09H282D,SPRPNI50E21E463Y
CRSPQN51C06H501S,Pasquino,Crescenzo,1951-03-06,M,ROMA,CCTLIO31D17H501O,CRSLRD14A09H282D,MNDDNL52D03L424C
CRSMLN50D22H501G,Emiliano,Crescenzo,1950-04-22,M,ROMA,CCTLIO31D17H501O,CRSLRD14A09H282D,LTANRC55T20E463E
CRSGRN51T19H501B,Guarino,Crescenzo,1951-12-19,M,ROMA,CCTLIO31D17H501O,CRSLRD14A09H282D,SMRVGL52P30E098E
CRSTTI50C04H501S,Tito,Crescenzo,1950-03-04,M,ROMA,CCTLIO31D17H501O,CRSLRD14A09H282D,GTAPRI60B12A757W
CRSGTN51E06H501V,Gastone,Crescenzo,1951-05-06,M,ROMA,CCTLIO31D17H501O,CRSLRD14A09H282D,SMRMRA50H28E098G
CRSSVG52C08H501X,Selvaggia,Crescenzo,1952-03-08,F,ROMA,CCTLIO31D17H501O,CRSLRD14A09H282D,GTALRD60C15A757A
CRSGTN53A30H501E,Giustino,Crescenzo,1953-01-30,M,ROMA,CCTLIO31D17H501O,CRSLRD14A09H282D,LVSRCC53B06D223F
CRSRND52T04H501C,Raimondo,Crescenzo,1952-12-04,M,ROMA,CCTLIO31D17H501O,CRSLRD14A09H282D,MNDPPN50D15L424E
CRSLVO49R13H501T,Oliva,Crescenzo,1949-10-13,F,ROMA,CCTLIO31D17H501O,CRSLRD14A09H282D,MNNCAI43S24A859M
MNDGTN52A28L424J,Giustiniano,Mandurino,1952-01-28,M,TRIESTE,MNDMMM22R21L424Y,RLTSRN29A06L424D,PVLGTN59M19L682G
MNDMMM52C18L424V,Mimma,Mandurino,1952-03-18,F,TRIESTE,MNDMMM22R21L424Y,RLTSRN29A06L424D,LTANNE58A01E463F
MNDSMN51S09L424J,Simone,Mandurino,1951-11-09,M,TRIESTE,MNDMMM22R21L424Y,RLTSRN29A06L424D,LVSLCN52B19D223Q
MNDDNL52D03L424C,Daniela,Mandurino,1952-04-03,F,TRIESTE,MNDMMM22R21L424Y,RLTSRN29A06L424D,CRSPQN51C06H501S
MNDMME51C19L424O,Emma,Mandurino,1951-03-19,F,TRIESTE,MNDMMM22R21L424Y,RLTSRN29A06L424D,SPRVCN53R21E463W
MNDMRZ50P10L424C,Marzia,Mandurino,1950-09-10,F,TRIESTE,MNDMMM22R21L424Y,RLTSRN29A06L424D,LVSLFA50H01D223E
MNDRLB51C04L424P,Rosalba,Mandurino,1951-03-04,F,TRIESTE,MNDMMM22R21L424Y,RLTSRN29A06L424D,
MNDWTR48S20L424Y,Walter,Mandurino,1948-11-20,M,TRIESTE,MNDMMM22R21L424Y,RLTSRN29A06L424D,ZNGLSU55C10A345N
MNDPPN50D15L424E,Peppina,Mandurino,1950-04-15,F,TRIESTE,MNDMMM22R21L424Y,RLTSRN29A06L424D,CRSRND52T04H501C
MNDVVN48T25L424D,Viviana,Mandurino,1948-12-25,F,TRIESTE,MNDMMM22R21L424Y,RLTSRN29A06L424D,
SMRMRA50H28E098G,Mara,Samari,1950-06-28,F,GORIZIA,BNFMLD28C29E098P,SMRLVR31S24G888X,CRSGTN51E06H501V
SMRVTR49L22E098Q,Vittoria,Samari,1949-07-22,F,GORIZIA,BNFMLD28C29E098P,SMRLVR31S24G888X,TSSTTI49T22D643X
SMRSFO52S12E098N,Sofia,Samari,1952-11-12,F,GORIZIA,BNFMLD28C29E098P,SMRLVR31S24G888X,CRMBRN62D26H294D
SMRFLV49R09E098M,Fulvia,Samari,1949-10-09,F,GORIZIA,BNFMLD28C29E098P,SMRLVR31S24G888X,MNNGNZ43T12A859X
