plate,manifacturer,model,last_revision,insurance_expiration,is_stolen,owner
DO365MN,Toyota,Land Cruiser,2022-10-14,2024-07-25,False,TLLDLB96D21G482X
IQ949BS,BMW,Serie 5,2024-12-06,2025-06-21,False,TLLLNZ96T31G482B
LE243RH,Renault,Mégane,2023-05-28,2024-06-09,False,TLLMNL96E16G482W
JP290YU,BMW,Serie 3,2022-04-03,2025-11-17,False,DRSCLD95T07L117B
JV411TU,Subaru,Impreza,2023-09-03,2025-04-13,False,LNUCCL01A01E472B
PK259UJ,Chevrolet,Camaro,2023-06-29,2025-07-02,False,TNRMRN94E22D810D
EP003NA,Kia,Sorento,2021-03-01,2025-10-02,False,TNRLHN95A07D810O
OF201NL,Volvo,S60,2023-09-20,2025-06-03,True,CHRLDE99E08A662W
PO591CV,BMW,Serie 3,2021-01-14,2025-12-23,False,PJULCU97P15B354B
XR481TE,Peugeot,3008,2024-08-16,2025-11-01,False,PJURND97M18B354A
GX597OE,Ford,Focus,2024-06-08,2025-04-08,False,TZZPIO96B21E290C
IZ170IK,Mercedes-Benz,Classe C,2024-04-07,2025-01-19,False,TZZCLL98R19E290B
WZ871OZ,Honda,Accord,2024-11-24,2022-12-28,False,TZZLSN95T07E290S
ZQ380ME,Toyota,Yaris,2023-03-02,2025-10-31,False,TZZRZR98A18E290G
QP693PQ,Jeep,Compass,2022-09-01,2025-12-03,False,CRRSDR98E06L117Y
IM713MV,Jeep,Compass,2024-09-01,2025-05-08,False,CRNGVF99C21A757J
GC518TM,Toyota,Yaris,2024-05-14,2025-02-28,False,CRNLRI99R05A757D
QS507WD,Hyundai,Sonata,2024-02-09,2025-03-03,False,CRNLSN00R01A757W
MI551ZY,Mercedes-Benz,Classe E,2023-05-22,2025-07-02,False,DRSLBA98P25L117T
GC803PV,Volvo,XC90,2023-11-17,2025-10-07,False,DRSDRT94T02L117J
AL673DA,BMW,Serie 3,2021-05-02,2025-06-20,False,PJUMRG95S17F979I
GX225RS,Mazda,Mazda3,2024-06-15,2025-07-18,False,PJUCRN96S30F979S
VH008AP,Mercedes-Benz,Classe A,2024-03-20,2025-03-16,False,PJUGPR95E08F979G
XC224NB,Kia,Sportage,2023-04-07,2025-08-06,False,CRRCSM02D06A462X
EH372OC,Volvo,S60,2023-09-07,2025-12-18,False,CRRMLD01H14A462U
DI045KI,Volkswagen,Passat,2023-08-13,2025-09-17,False,CRRGLN99A01A462A
MM188BV,Peugeot,308,2024-08-28,2025-07-21,True,PLNGLL99L12C933Y
OQ828HE,Fiat,Punto,2023-12-05,2025-11-13,False,PLNLBN00D20C933Y
EV797TQ,Mercedes-Benz,Classe A,2024-04-23,2023-02-06,False,PLNRZR98T02C933Q
TD323TG,Volkswagen,Polo,2023-04-22,2025-07-17,False,CVNRCC03R29B429I
FC415VM,Kia,Ceed,2023-11-21,2024-02-22,False,TGLGDI00L12B519O
RE178IX,Ford,Focus,2024-06-02,2025-10-04,False,TRMPPN03T08G224J
HZ529DR,Hyundai,Tucson,2023-12-19,2025-05-04,False,TRMMRA05D07G224R
QG833HI,Kia,Rio,2022-03-28,2025-01-16,False,TNRGRL97M09D810V
FO740UI,Chevrolet,Camaro,2023-12-17,2022-08-26,False,TNRTTV97P27D810H
CO786RC,Renault,Mégane,2024-10-20,2025-12-04,False,TNRPMP98B15D810U
IF684JG,Alfa Romeo,Giulietta,2021-04-13,2025-10-19,False,TLLLEA95M21G482T
RJ464ZB,Kia,Sorento,2023-06-15,2025-07-07,False,CRRBRT01S29G113F
JO913WF,Fiat,Panda,2024-02-11,2025-01-01,False,CRRNTN99A19G113H
UN686UH,Renault,Clio,2023-09-24,2023-06-02,False,CRRSMN00D24G113I
QG225UV,Honda,Civic,2024-08-31,2025-07-04,False,STRVVN04P06H703H
NL497GS,Chevrolet,Silverado,2023-12-30,2022-04-06,False,STRGPR04S08H703C
FK997KB,Honda,CR-V,2024-02-21,2025-05-22,False,STRNCN05R03H703S
NQ814KR,Alfa Romeo,Giulia,2023-02-20,2025-10-24,False,CRRMSM05M19L781S
EU639JP,Volvo,V90,2023-03-02,2025-08-31,False,CRRNLM04T16L781A
EP262ET,Renault,Twingo,2024-05-04,2025-11-08,False,CRRGMN04P14L781R
EK030UL,Audi,A4,2023-08-18,2025-09-26,False,TGLRTI03T31C352Z
AW740YY,Jeep,Wrangler,2023-04-10,2025-07-13,False,TGLSTN06B14C352B
LJ774KU,Mazda,Mazda3,2024-06-27,2025-04-22,False,TGLRHL03L11C352T
PL576QP,Honda,Civic,2023-10-23,2025-11-12,False,TGLYNN06R29C352I
GB070OK,Renault,Clio,2023-08-30,2025-11-08,False,CRNPRM97E02A669F
JS200UQ,Mercedes-Benz,Classe E,2024-01-19,2025-06-17,False,CRNLGU95C24A669Q
TA686JM,Hyundai,Sonata,2023-08-26,2025-03-09,False,CRNLVR97A22A669C
DB768XL,Kia,Ceed,2022-05-24,2023-09-23,True,LDBTSC94P11E202F
TO885UA,Honda,Civic,2024-01-12,2025-09-02,False,LNUMRA02P07E290R
NL707SG,Kia,Rio,2022-05-05,2022-11-22,False,LNUGRT02A17E290D
OS184ZI,Honda,Civic,2024-04-12,2025-07-15,False,CRRMRT02T15B519G
MW969GP,Toyota,Land Cruiser,2024-06-12,2025-08-03,False,CRRFRC03C02B519R
VL844AH,Peugeot,208,2023-12-23,2024-10-29,False,TZZDRN06L11B519E
JI603CK,Kia,Sorento,2023-11-11,2023-10-30,False,TZZFST05T21B519A
QX673TN,Volvo,XC90,2022-04-24,2025-11-19,False,TZZLPA04D08B519N
QJ747UV,Honda,Accord,2023-02-24,2025-04-23,False,TZZMTT04P09B519Q
KD240PM,Subaru,Outback,2023-01-08,2025-05-15,False,LDBLVN03B08E472L
YI715OW,Kia,Ceed,2024-12-26,2025-08-19,False,LDBMDA06S09E472N
OO160FX,Ford,Fiesta,2023-09-05,2022-04-03,False,STRGPP03B03F537I
KL973LV,Fiat,Panda,2023-09-23,2025-11-20,False,STRRST06M29F537R
HU980HV,Fiat,Panda,2024-07-14,2025-01-14,False,STRVTT04L07F537B
TO166DW,Honda,Civic,2024-10-18,2025-05-21,False,STRDTR02S29F537T
NO562SA,Mazda,Mazda3,2024-01-10,2025-10-04,False,GNVRMN03E20A326W
AE003QK,Audi,A3,2024-12-14,2025-02-25,False,GNVLRC05T15A326N
XL860UL,Audi,Q5,2024-01-24,2025-08-25,False,GNVDRN03S16A326O
AR456ZZ,Toyota,Corolla,2023-07-20,2025-09-26,False,GNVVEA06C19A326W
GF933ES,Ford,Mustang,2023-10-24,2025-07-11,False,GNVLCU03R14A326Q
MY044DY,Subaru,Forester,2023-03-29,2025-08-29,False,CRNDVG03T08A182H
LG290XD,Volkswagen,Polo,2023-02-14,2025-07-08,False,CRNLRD04L06A182X
FO093HT,Honda,CR-V,2024-09-23,2025-09-14,False,CRNRMN04R26A182D
GH107RO,Volvo,XC90,2021-01-29,2025-06-23,False,NCLLRT96H26E506B
BF037BJ,Toyota,Land Cruiser,2023-05-02,2023-07-01,False,NCLMLE97T07E506H
VM234QF,Mazda,CX-5,2024-03-17,2025-04-19,False,TRMMRO96H11G482A
BW770OI,Mazda,Mazda6,2024-06-23,2025-02-27,False,TNRLNE96C05M082L
RM110HO,Fiat,Punto,2023-07-02,2025-04-16,False,GRNGZZ97S28L736F
LE003QR,Toyota,Land Cruiser,2023-10-22,2025-03-12,False,GRNGLL95L31L736W
YM373BL,Renault,Clio,2022-11-04,2025-05-21,False,GNVTTN98B08A326A
OL507AG,Mercedes-Benz,Classe A,2024-10-03,2025-09-11,False,GNVSRN98L31A326H
PN530BG,Honda,CR-V,2023-09-09,2023-11-16,False,GNVYND94S17A326I
FI477QU,Hyundai,Sonata,2024-05-29,2025-07-01,False,GRNGNE94P06L736P
MO697ZD,Alfa Romeo,Giulietta,2023-01-10,2025-06-07,False,GRNCSM98E31L736J
WD711SU,Mercedes-Benz,Classe C,2024-04-13,2025-08-18,False,GRNTTI97C30L736U
QB532DX,Kia,Sorento,2023-11-09,2025-02-19,False,GRNMCL44P26F704O
YS514ZU,Hyundai,Elantra,2021-05-30,2024-03-17,False,DSRGTA47C25A182Y
RZ424EF,Volvo,XC90,2023-08-07,2025-09-10,False,RSSGGR61L30F023L
CE800II,Hyundai,Sonata,2023-03-17,2025-12-08,False,RSSNRC62T14F023N
CC561DT,Mercedes-Benz,Classe E,2023-09-07,2025-03-04,False,BRBMRA60E05L483F
UJ759RC,Mercedes-Benz,Classe C,2021-06-05,2025-10-04,False,BRBBGI62B05L483C
QI984FU,Honda,Accord,2024-08-06,2025-09-12,False,BRBLBN60A10L483Q
OC609RX,Volvo,V90,2023-09-07,2025-12-29,False,BRBMRK63H01L483N
SR675EL,Ford,Focus,2024-09-20,2025-12-05,False,BRBGDU60C20L483E
YF806EY,Fiat,500,2022-04-02,2025-05-28,False,BRBCLD61T19L483J
PF842OF,Jeep,Renegade,2022-05-04,2025-06-04,False,BRBGLD62S30L483U
MX943FN,BMW,Serie 3,2022-08-01,2025-01-23,False,LNCCLN59M03L750S
TX066YW,BMW,X5,2023-06-30,2025-01-17,False,LNCNTS59H03L750R
QU203XK,Mercedes-Benz,Classe A,2023-04-08,2024-04-27,False,GRVNZR54A27D223T
YT543ZB,Subaru,Impreza,2024-05-13,2025-08-20,False,GRVVGL58R09D223A
ZA615VZ,Peugeot,208,2022-01-05,2025-07-11,False,GRVMHL56H09D223A
RP270PS,Mazda,Mazda3,2023-03-04,2023-08-17,False,GRVRZR57D14D223X
RE693KJ,Hyundai,Elantra,2022-02-25,2023-10-04,False,CRMPRN68R24F052E
AE769XU,Honda,CR-V,2023-01-14,2025-11-14,False,CRMVGN66L13F052I
NY792YD,Chevrolet,Malibu,2023-03-28,2025-09-03,False,CRMGBR67T21F052N
GI817BN,Hyundai,Elantra,2023-10-30,2025-09-06,False,CRMNGL67L15F052F
PJ608JU,Fiat,Panda,2021-07-07,2025-12-31,False,CRMNVE65T29F052K
CG127WY,Mercedes-Benz,Classe A,2023-01-14,2025-12-18,False,CRMTCR66M13F052O
LG060QV,BMW,Serie 3,2022-05-12,2025-05-18,False,CRMLDA65M19F052E
BX303RF,Mazda,Mazda3,2024-01-28,2025-10-02,False,BRCVNT63S05G999A
EX832EL,Audi,A3,2024-07-20,2025-03-21,False,BRCVLR60A06G999W
JP413VE,Honda,Civic,2024-03-29,2025-09-30,False,RVLGPP58L23L331I
DL965LC,Peugeot,308,2024-09-14,2024-12-20,False,TRPMRC61A29L682F
GR372ZX,Ford,Fiesta,2024-01-23,2025-09-26,False,FCRYLN65R13D223N
BK793LC,Nissan,Qashqai,2023-01-10,2024-12-21,False,FCRVTT63S22D223B
HD497NU,Peugeot,208,2021-02-03,2025-06-09,False,FCRCST65A19D223M
XF739NL,Mazda,Mazda6,2023-06-06,2025-05-30,False,FCRMRT65H27D223F
PA121ZM,Mercedes-Benz,Classe A,2024-02-22,2025-08-15,False,FCRLSN67E17D223V
ER642OO,BMW,X5,2023-01-14,2025-05-10,False,FCRVNT65T30D223I
FW987UE,Nissan,X-Trail,2023-12-13,2025-11-19,False,FCRZNE65E23D223X
NA821DQ,Subaru,Forester,2023-08-13,2025-10-25,False,FCRMCL64R17D223J
TY879UP,Hyundai,Tucson,2023-02-26,2025-03-18,False,DRLCNZ62T29D205U
FM949YR,Kia,Sportage,2024-12-18,2022-07-06,False,DRLLND61B06D205K
CF923HY,Subaru,Impreza,2022-07-20,2025-03-07,False,PCNGND55E22G713P
VY678RY,Mazda,Mazda3,2022-06-24,2023-03-23,False,FLCGNE55D20E783T
SY757PG,Audi,A4,2024-01-31,2024-08-07,False,FLCFRC55B06E783J
WM890MY,Volkswagen,Passat,2023-01-02,2025-04-04,False,FLCGAI55S09E783B
HI656CE,Renault,Twingo,2022-03-30,2025-12-01,False,FLCGTV58M26E783G
LA333FL,BMW,X5,2024-02-23,2025-06-10,False,FLCZOE56R04E783L
MF632LR,Subaru,Impreza,2022-02-12,2024-03-13,False,FLCNBL56S19E783M
AS842NK,Mazda,Mazda6,2023-11-05,2025-08-26,False,FLCCSM56C11E783M
IL912FK,Volkswagen,Polo,2024-12-03,2024-07-07,False,CVLLCN54P23M082K
ZP366TA,Ford,Fiesta,2023-12-19,2025-11-15,False,CVLMLN56T22M082V
KB547LN,Mazda,Mazda6,2023-06-13,2022-05-26,False,RSGTNO58A27G273E
ZK688XZ,Peugeot,3008,2023-12-11,2025-08-13,False,RSGSML56L08G273Z
KS470UM,Chevrolet,Silverado,2024-03-22,2025-06-02,False,RSGRMN56E20G273P
KC684JM,Honda,Civic,2023-04-28,2025-05-03,False,RSGYLN57B24G273I
RY186QL,BMW,Serie 3,2024-06-08,2025-03-27,False,CRNDLN54D23F257X
YZ286CE,Fiat,500,2023-05-06,2024-11-14,False,CRNGTN58D01F257F
TQ898XM,Honda,CR-V,2024-10-06,2025-02-18,False,DLCPLN63L21B157Y
JN997ZD,Fiat,500,2024-07-28,2023-06-07,False,DLCCSR62S10B157E
OX326QM,Mercedes-Benz,Classe E,2023-08-22,2025-02-09,False,DLCSRN61D04B157N
RG382UV,Subaru,Forester,2023-10-27,2025-12-05,False,DLCFNZ60B17B157Z
IO342NP,Audi,A4,2023-03-26,2025-09-25,False,DLCSDR60S05B157Y
II685JK,Hyundai,Tucson,2023-02-22,2025-01-28,False,DLCSLM59L19B157Y
RR747JP,Chevrolet,Silverado,2023-03-19,2025-12-30,False,DLCVGL60S14B157A
WQ892OV,Jeep,Renegade,2023-03-25,2024-02-07,True,GRNLNE64T11D150A
XV855NP,Mazda,CX-5,2021-04-17,2023-08-21,True,GRNNNZ66M24D150N
VB962DZ,BMW,X5,2023-08-12,2025-02-05,False,GRNTNA64P24D150D
KH267WG,Mercedes-Benz,Classe A,2024-12-05,2025-06-20,False,GRNFRZ67C02D150B
PX864FN,Audi,A4,2024-12-28,2025-03-16,False,GRNRST66B06D150P
SE228TB,BMW,Serie 3,2021-07-27,2025-10-14,False,GRNPLG67S27D150J
EU318HU,Mazda,CX-5,2023-05-08,2022-01-14,False,GRNGLI66E09D150A
LK327NM,Kia,Sorento,2024-08-07,2023-02-18,False,PRNPLA58B09I754K
TO214BH,Renault,Twingo,2023-08-24,2024-01-04,False,PRNGLM54A21I754R
RG448PK,Ford,Fiesta,2023-02-10,2025-02-25,False,PRNGPP58R23I754L
WS417GY,Subaru,Outback,2024-04-13,2025-10-31,False,PRNLVN57B10I754F
QX464SC,Kia,Sorento,2024-12-28,2022-10-03,False,PRNGRG55P05I754D
KR208MO,Audi,A4,2023-08-10,2025-04-26,False,CRSNBR67R10F704X
IB137CW,Kia,Sportage,2024-07-14,2025-09-16,False,CRSSRG64L30F704U
HU686QY,Nissan,X-Trail,2023-01-30,2025-01-02,False,MRSSNN67S15L781A
AU324GO,Volvo,V90,2023-05-14,2022-09-29,False,MRSVTI68D25L781P
DF226AL,Subaru,Outback,2023-11-02,2025-06-20,False,MRSLFA67T09L781I
GF628PH,Kia,Sorento,2023-02-15,2025-11-10,False,MRSFLV65B24L781O
NT579VR,Mazda,Mazda3,2024-10-14,2025-11-01,False,LSCSDR53S27D223D
GK111YV,Nissan,X-Trail,2023-03-27,2024-05-15,False,LSCPIO58B26D223A
BD441BL,Mercedes-Benz,Classe A,2024-09-13,2025-05-09,False,LSCMRN56B07D223J
GJ426JR,Mazda,Mazda3,2023-06-18,2025-05-01,False,LNGCRI58H23F158W
TN059HE,Volvo,S60,2024-09-09,2025-10-11,True,LNGMMI56M11F158H
WY828EN,Mazda,Mazda3,2022-10-23,2025-05-02,False,LNGPRI56T20F158Y
BU199HN,Hyundai,Tucson,2023-08-01,2025-06-02,False,LNGVLM54A07F158D
BI859FX,Fiat,Punto,2021-06-30,2025-02-20,False,LNGCLS56E13F158R
QU412WT,Renault,Twingo,2024-11-01,2024-05-12,False,LNGFDR57D05F158A
OK387VB,Toyota,Land Cruiser,2024-02-03,2025-05-21,False,LNGNDA54D07F158S
XR017LW,Peugeot,3008,2023-04-01,2023-11-11,False,MRSPLN84B18F257Y
BQ189UY,Ford,Fiesta,2023-01-30,2025-04-16,False,MRSNTL84T11F257Z
SF805WJ,Subaru,Outback,2023-01-10,2023-11-03,False,MRSNMO87T02F257N
GV982NU,Chevrolet,Silverado,2023-12-04,2025-01-22,False,MRSDRA86L19F257L
OA677UZ,Kia,Sorento,2024-01-09,2024-02-19,True,BRCGFR83M26B832N
FZ030OO,Mercedes-Benz,Classe A,2023-10-12,2025-08-04,False,BRCCNN78T21B832W
WS808CP,Peugeot,308,2023-12-02,2025-01-11,False,BRCDRS83L24B832M
JK757BI,Fiat,500,2024-06-30,2025-10-26,False,BRCSRL80B28B832X
MT157IB,Nissan,Qashqai,2024-05-12,2025-04-05,False,BRCTRS81L22B832W
TG972MO,Ford,Focus,2023-02-24,2025-06-14,False,GRVLVR82R04D223F
OS636NJ,Subaru,Forester,2023-08-17,2025-02-03,False,GRVRSR83A01D223Y
HV617YH,Chevrolet,Silverado,2022-07-28,2024-06-16,False,GRVMLN82H16D223M
TB988AY,Alfa Romeo,Giulietta,2024-09-30,2025-08-28,False,GRVMDL80T30D223W
TF043UY,Volkswagen,Passat,2021-11-08,2025-03-19,False,GRVMLN82H22D223D
VI508JH,BMW,Serie 5,2024-11-25,2025-10-24,False,GRVCLD79M10D223K
ZR407RC,Renault,Clio,2024-10-08,2025-09-20,False,BRBLNS80S17I480L
UV886GY,Renault,Mégane,2023-05-28,2025-07-10,False,DLCNRC80B09I829G
ZL341SV,Volkswagen,Passat,2024-05-15,2025-06-17,False,BRBLRT83A19G482Y
KU677SE,Chevrolet,Camaro,2024-02-04,2025-03-19,False,BRBLFA83A11G482P
NI751FH,Audi,Q5,2022-07-17,2025-11-20,False,BRBCST81M07G482D
AS242TC,Kia,Ceed,2024-01-05,2025-02-13,False,BRBBGD83A13G482R
VC441QV,BMW,Serie 5,2023-03-05,2025-05-29,False,BRBCMN81P18G482R
HZ604HJ,BMW,X5,2023-08-15,2025-11-18,False,CRSGNZ84L31F704Q
WD764IN,Toyota,Corolla,2024-01-07,2025-04-06,False,CRSRZR86M05F704W
UL493TF,Volkswagen,Passat,2024-10-13,2025-06-13,False,CRSRNN85M04F704K
EB393AK,Toyota,Land Cruiser,2023-11-07,2025-06-22,False,CRSCLN87M28F704T
SI597LI,Fiat,500,2024-07-29,2025-11-23,False,CRMLRT86H17L103A
TC165NS,Hyundai,Elantra,2023-07-21,2025-09-10,False,CRMMRK87S30L103A
QW390TE,Mercedes-Benz,Classe A,2024-04-09,2025-08-15,False,CRMMTN83S16L103R
GC870DM,Subaru,Impreza,2024-05-11,2025-09-24,False,CRMLCU84E11L103X
AW918IA,Alfa Romeo,Giulia,2024-07-10,2025-06-03,False,GRNFBN87C08L682D
MZ569ON,BMW,X5,2022-09-28,2025-03-07,False,GRNCRN85H09L682U
ZE662CW,Chevrolet,Malibu,2024-11-06,2025-02-22,False,GRNSLD85P30L682R
YC591IQ,Honda,Civic,2023-09-26,2025-10-12,False,GRNZTI86C02L682R
JD339TF,Peugeot,3008,2023-05-12,2024-10-26,False,GRNPLP84D14L682J
RA682JR,BMW,Serie 5,2024-02-10,2025-06-18,False,FCRMRA85P09D223E
IX757AN,Nissan,X-Trail,2023-01-24,2024-01-21,False,FCRDNC85T12D223F
DB540OF,Hyundai,Tucson,2024-01-12,2023-09-27,False,FCRLSS84T17D223G
OP673ZO,Toyota,Yaris,2021-06-11,2025-09-16,False,FCRFBN87D09D223I
GK788QP,Peugeot,3008,2024-12-14,2024-03-17,False,FCRNGL86H25D223G
FP759WW,Volkswagen,Passat,2024-03-09,2025-10-31,False,CRMSLL86C10F052R
FZ246RT,Chevrolet,Silverado,2024-11-08,2025-11-23,True,CRMLLE87D26F052V
ZR881DS,Audi,A3,2024-11-04,2025-07-03,False,CRMSLL86M12F052I
NR524XO,Mercedes-Benz,Classe C,2024-02-21,2025-03-18,False,CRMRTI87P21F052W
SE945WD,Mazda,CX-5,2022-06-24,2024-08-06,False,CRMVVN86E12F052K
BO588BD,Renault,Twingo,2022-05-05,2025-06-12,False,BRBLRT86R08L407O
XI933ZZ,Volkswagen,Polo,2024-04-07,2025-05-19,False,BRBFPP85H26L407F
WE555QC,Fiat,Punto,2023-09-20,2024-09-21,False,BRBMHL87D17L407P
YK198RP,Jeep,Compass,2022-05-14,2025-08-27,False,BRBGLI86M23L407U
PJ233ON,Volkswagen,Polo,2024-04-17,2025-06-10,True,BRBMRS85M30L407I
QK016BO,Volvo,S60,2023-05-18,2025-08-22,False,BRBFSC85B15L407H
KL898HR,Alfa Romeo,Giulia,2021-10-04,2025-08-15,False,RSGDLM85A29I754R
EV152FW,Mercedes-Benz,Classe E,2024-07-11,2022-06-25,False,RSGLRT84P29I754L
NQ954AA,Chevrolet,Silverado,2023-07-05,2025-05-25,False,LNGDMN88P18F158P
DB737HS,Peugeot,208,2024-04-09,2025-12-25,False,LNGNCL85S30F158A
CS790VB,Jeep,Compass,2023-03-10,2025-03-14,True,CRSGPR86P01F704P
TZ465HE,Hyundai,Sonata,2024-01-27,2025-07-19,False,CRSNTN84C19F704Z
DQ562PI,Mazda,Mazda3,2023-08-30,2025-08-29,False,CRSLBR85S20F704C
XO918XQ,Mercedes-Benz,Classe A,2023-11-11,2025-06-06,False,CRSRSL88P05F704S
FR034JD,Ford,Fiesta,2024-03-02,2025-07-06,False,CRSSNT85C21F704X
QU224MC,Volvo,S60,2024-08-14,2024-06-16,False,DLCCTN80E17F704Z
AS409ZZ,Honda,CR-V,2022-01-15,2025-02-06,False,DLCLND83H02F704C
WR750YK,Audi,A4,2023-03-28,2025-10-11,False,DLCMRN82E11F704O
ZF610DH,Chevrolet,Camaro,2023-10-22,2025-02-10,False,GRNLVC88P26D150B
MY002BY,Mazda,Mazda3,2024-05-19,2025-07-18,False,GRNMRK86S13D150G
YA554BW,Fiat,Punto,2023-12-07,2025-06-28,False,GRNLBN88H06D150O
SC588YV,Peugeot,308,2024-09-11,2025-01-21,False,GRVFTM81H23D223G
RX769DV,Nissan,X-Trail,2024-03-09,2025-12-28,False,GRVGTN81C15D223B
IJ489PE,Ford,Focus,2024-07-14,2025-03-29,False,GRVMLE83H14D223Y
BN305UH,Audi,A4,2023-03-25,2025-05-20,False,BRBCLD83B20L840I
ZC360WG,Mazda,Mazda6,2023-02-28,2025-02-18,False,BRBBRC81D16L840C
KR457PN,Alfa Romeo,Giulia,2024-10-23,2025-03-03,False,BRBRNL81D02L840C
XJ568LK,Renault,Clio,2024-01-31,2025-06-04,False,GRNLRC86A10E290Q
AF090TZ,Mercedes-Benz,Classe C,2022-11-23,2025-02-09,False,GRNSAI86H27E290D
TK879RV,Renault,Mégane,2024-12-27,2025-12-30,False,RVLSRG74S04L331Y
RX362FD,Audi,Q5,2023-09-13,2025-06-08,False,RVLRRG77C13L331S
MF041ZA,Mercedes-Benz,Classe C,2024-03-31,2025-06-28,False,RSGNZE77D27G273A
FZ770XM,Kia,Sorento,2023-05-19,2025-02-01,False,RSGMTN74D14G273N
VW570BE,Audi,Q5,2023-02-15,2024-11-29,False,RSGNTA76R26G273L
FZ488HF,Toyota,Corolla,2023-09-14,2025-06-11,False,RSGTZN74E23G273E
KS308BF,Subaru,Outback,2023-10-23,2025-02-13,False,GRNGNZ84L24E897I
UQ800II,Renault,Clio,2023-05-05,2022-08-14,False,GRNDFN85C18E897X
BU461YM,Nissan,X-Trail,2023-05-15,2022-06-03,False,GRNCCL84T30E897E
PI787BY,Mazda,Mazda3,2022-01-19,2025-11-09,False,GRNNLT84R28E897H
OI451HV,Volkswagen,Polo,2024-02-05,2025-01-13,False,DRLRML82B03L750G
TR944PJ,Toyota,Yaris,2024-01-11,2025-06-15,False,DRLSDI79C02L750B
HX767FJ,Renault,Mégane,2023-05-04,2025-03-07,True,DRLRRA81M23L750E
YT638AE,Subaru,Impreza,2021-02-24,2025-07-31,False,DRLVLR81M10L750O
HL081EI,Toyota,Corolla,2022-06-04,2025-02-25,False,CRMGRN87M31F052A
HI617JP,Subaru,Outback,2024-02-07,2025-08-27,False,PRNGGR77S27I754Q
KI636LD,Volvo,XC90,2023-02-15,2025-12-08,False,PRNCSS76A21I754H
PQ745TH,Audi,A3,2024-09-07,2025-04-15,False,PRNDMA77D10I754D
IM664FE,Toyota,Land Cruiser,2024-11-01,2025-12-15,False,DLCDNL88L19D150P
GM316MJ,Fiat,500,2021-04-23,2025-03-04,False,DLCSTN85H18D150I
IY552ZP,Subaru,Forester,2023-01-06,2024-08-18,False,DLCGNI86A07D150F
NU796JG,Subaru,Forester,2024-10-14,2025-03-10,False,DLCMGN87P21D150Z
PN934ED,Peugeot,208,2023-07-07,2025-11-27,False,FLCMRT82T24G479B
YH316DH,Mazda,CX-5,2022-12-18,2025-12-14,False,FLCLSS79E25G479H
GD918VY,Mercedes-Benz,Classe C,2023-02-19,2022-04-15,False,FLCNRN82T19G479H
GX182AV,Fiat,500,2023-07-11,2025-08-14,False,FLCNVE83A09B832Y
JC408QF,Jeep,Renegade,2023-06-22,2025-09-13,False,FLCVNI82L03B832I
GT916BS,Nissan,X-Trail,2023-11-05,2025-11-24,False,FLCFLV82C10B832L
XY889GR,Hyundai,Tucson,2023-06-30,2023-03-08,False,PCNGBB80C23G713S
BH557DI,Renault,Clio,2024-02-10,2024-03-03,False,PCNGZZ80C14G713O
KU304XP,Kia,Sorento,2024-10-05,2025-05-11,False,PCNSVS83L28G713T
QX162NI,BMW,Serie 5,2023-08-26,2025-01-25,False,PCNRME88P26F979J
FQ436GR,Nissan,Qashqai,2024-08-01,2023-03-06,False,LNGLSS84E28F158Z
MP806HI,Ford,Focus,2024-06-15,2022-03-13,False,LNGVTR86S30F158Y
HP889DO,Fiat,500,2024-02-19,2025-06-22,False,LNGCTL86R16F158H
SE507BM,Nissan,X-Trail,2024-05-04,2025-06-15,False,LNGTTR88M10F158C
DS126OJ,Kia,Sportage,2023-02-01,2025-02-06,False,LNGLDA87L23F158O
YN658JL,Peugeot,3008,2024-06-20,2024-04-26,False,MRSLCA88A07H294I
LQ657EL,Audi,A4,2024-10-15,2024-03-10,False,MRSMRC85P17H294O
PJ373GK,Fiat,500,2024-04-02,2022-01-15,False,PRNZRR84L27L331B
IG657EI,Volkswagen,Passat,2024-06-28,2025-10-13,False,PRNCRL84C20L331J
OO707YK,Volkswagen,Passat,2024-02-21,2025-09-15,False,PRNGNT85H17L331J
OF411VO,Toyota,Corolla,2022-07-17,2025-11-24,False,TRPGNI81L25L682Q
PY021JF,Alfa Romeo,Giulia,2024-04-02,2022-01-06,False,TRPSST82L21L682T
HZ530HL,Volkswagen,Polo,2024-10-12,2023-03-26,False,TRPLRT79S29L682Q
ID164LV,Subaru,Outback,2024-11-03,2024-12-25,False,TRPVTR80H14L682P
EU991KP,Peugeot,308,2021-09-15,2025-12-13,False,TRPVTT82C12L682D
QM746SK,Volkswagen,Passat,2024-04-02,2025-01-21,False,TRPCSG80E26L682I
VM754NJ,Kia,Rio,2024-10-29,2025-11-23,False,TRPLMP82D10L682R
GC237PH,Volvo,V90,2024-05-16,2025-09-04,False,TRPCNN80R08L682Y
IO073PP,Ford,Focus,2024-10-18,2025-11-24,False,GRNTLI86B13D150V
FY998BW,Renault,Clio,2021-10-02,2025-10-03,False,GRNNLC88D02D150P
EF255FB,Toyota,Land Cruiser,2024-07-31,2025-05-28,True,GRNRRT87D08D150B
RQ518AR,Renault,Twingo,2023-01-05,2025-07-17,False,PRNDLE86D15C351H
JA813RG,Fiat,500,2022-08-19,2025-03-01,False,CRMPPP87H03D643W
IJ799BW,Honda,Accord,2023-06-29,2025-02-21,False,PRNRRA76A16I754O
PH241LC,Nissan,Qashqai,2024-04-06,2025-02-10,False,PRNVNT75M28I754S
