cf,name,last_name,birthdate,gender,birthplace,residence,gen1,gen2,partner_of
DLLCRL84P22F839U,Carla,Della Chiesa,1984-09-22,F,NAPOLI,CASERTA,DLLRST68C19A509Y,SLRMAI65C03L483P,SGGPRD87P18F839A
DLLWND86H03F839I,Wanda,Della Chiesa,1986-06-03,F,NAPOLI,TARANTO,DLLRST68C19A509Y,SLRMAI65C03L483P,ZMPLRZ91E05H620V
LBRLIA03H07E783N,Lia,Libertini,2003-06-07,F,MACERATA,MACERATA,LBRGNT73T24E783J,BZZRLA83H11A669V,
LBRNZR02T08E783I,Nazzareno,Libertini,2002-12-08,M,MACERATA,MACERATA,LBRGNT73T24E783J,BZZRLA83H11A669V,
LBRNLT05D13E783C,Nicoletta,Libertini,2005-04-13,F,MACERATA,MACERATA,LBRGNT73T24E783J,BZZRLA83H11A669V,
LBRCLL02T04E783O,Camilla,Libertini,2002-12-04,F,MACERATA,MACERATA,LBRGNT73T24E783J,BZZRLA83H11A669V,
QGLGTV98S07L117O,Gustavo,Quaglia,1998-11-07,M,TERNI,GORIZIA,QGLGLL78P23L117Z,SLRMLA78C22C351U,STFMLN94T21L424P
QGLMSM96M01L117W,Massimiliana,Quaglia,1996-08-01,F,TERNI,TERNI,QGLGLL78P23L117Z,SLRMLA78C22C351U,MRCMRK00A28A859I
QGLWTR96C26L117R,Walter,Quaglia,1996-03-26,M,TERNI,VENEZIA,QGLGLL78P23L117Z,SLRMLA78C22C351U,ZMPDRO91A24H620S
QGLNRC96T02L117K,Enrica,Quaglia,1996-12-02,F,TERNI,TERNI,QGLGLL78P23L117Z,SLRMLA78C22C351U,LBRCRN94L11E202C
QGLCSM96B09L117P,Cosima,Quaglia,1996-02-09,F,TERNI,PISTOIA,QGLGLL78P23L117Z,SLRMLA78C22C351U,SGGBRM01R12B963B
TSCCLD99R26A182K,Claudia,Toscanesi,1999-10-26,F,ALESSANDRIA,VERCELLI,TSCCSS80R19D643R,LBRGIO75S02H501H,BZZBNR98H21I726U
TSCCRN00R04A182N,Caterino,Toscanesi,2000-10-04,M,ALESSANDRIA,SALERNO,TSCCSS80R19D643R,LBRGIO75S02H501H,MPLFNZ99S07H703V
MPLMRT01H05A944M,Ombretta,Mapelli,2001-06-05,F,BOLOGNA,PARMA,MPLPQN81C02D548K,LBRLRC78A10E783U,DLLGRM97E26I480Y
MPLGTN02E01A944M,Agostino,Mapelli,2002-05-01,M,BOLOGNA,PISTOIA,MPLPQN81C02D548K,LBRLRC78A10E783U,BTTMCL97E14E202S
LBRLIA97A23G273C,Lia,Libertini,1997-01-23,F,PALERMO,PALERMO,LBRLRD76S17C351Y,BZZCLR76E15L500M,DLLLMO96C06A662I
LBRCLR93T10G273X,Clara,Libertini,1993-12-10,F,PALERMO,PALERMO,LBRLRD76S17C351Y,BZZCLR76E15L500M,
DLLCLL99T01A669V,Camilla,Della Chiesa,1999-12-01,F,BARLETTA,TRANI,DLLSRI79B26A669L,LBRLEA77S05A462Y,LTAGTR98A16A952I
MPLMDA02P05A757K,Amedea,Mapelli,2002-09-05,F,BELLUNO,BELLUNO,MPLLBR82D04D548L,LBRLSN74S21A462A,
MPLMSM00H17A757S,Massimiliana,Mapelli,2000-06-17,F,BELLUNO,BELLUNO,MPLLBR82D04D548L,LBRLSN74S21A462A,STFPNI95T24L424N
MPLMNI02S02A757G,Mino,Mapelli,2002-11-02,M,BELLUNO,VERCELLI,MPLLBR82D04D548L,LBRLSN74S21A462A,MRCMCL96E29L750F
MPLPSQ01T10A757H,Pasqua,Mapelli,2001-12-10,F,BELLUNO,BELLUNO,MPLLBR82D04D548L,LBRLSN74S21A462A,DLLQMD88R30F839Q
LBRDLZ96M08A462Z,Diocleziano,Libertini,1996-08-08,M,ASCOLI PICENO,PISA,LBRCLL74H09A462F,BZZVNA74C18L500E,BTTMME95B06I726U
LBRPIO98R31A462R,Pio,Libertini,1998-10-31,M,ASCOLI PICENO,TRENTO,LBRCLL74H09A462F,BZZVNA74C18L500E,STFRMN91B25A952E
LBRBRN98P17A462B,Bruno,Libertini,1998-09-17,M,ASCOLI PICENO,IGLESIAS,LBRCLL74H09A462F,BZZVNA74C18L500E,LTAWNN97R16B354X
QGLMTN93S29L736E,Martino,Quaglia,1993-11-29,M,VENEZIA,CATANIA,QGLGLL64D22L736M,BZZRMN76M30L500K,LBRRNI96C06C351P
QGLDRO98R08L736N,Dora,Quaglia,1998-10-08,F,VENEZIA,VENEZIA,QGLGLL64D22L736M,BZZRMN76M30L500K,STFCCL97R31D704A
QGLNEE95H10L736D,Enea,Quaglia,1995-06-10,M,VENEZIA,MODENA,QGLGLL64D22L736M,BZZRMN76M30L500K,MPLDVG02C20D548C
QGLRLF98B23L736W,Rodolfo,Quaglia,1998-02-23,M,VENEZIA,PESCARA,QGLGLL64D22L736M,BZZRMN76M30L500K,GTTVVN99T09G482D
LBRMLA03S02G535H,Amelia,Libertini,2003-11-02,F,PIACENZA,PIACENZA,LBRGND78A09C351Z,BZZRMN83P21A669J,
LBRTMS03A03G535L,Tommaso,Libertini,2003-01-03,M,PIACENZA,PIACENZA,LBRGND78A09C351Z,BZZRMN83P21A669J,
LBRLVC05P10G535E,Ludovica,Libertini,2005-09-10,F,PIACENZA,PIACENZA,LBRGND78A09C351Z,BZZRMN83P21A669J,
STFFTN00L06B429Z,Faustino,Stefanè,2000-07-06,M,CALTANISSETTA,FOGGIA,STFMLT77S07B429J,BZZDFN81H12A669G,DLLVSS94B23A662D
STFFNN99R20B429A,Fernando,Stefanè,1999-10-20,M,CALTANISSETTA,VERONA,STFMLT77S07B429J,BZZDFN81H12A669G,BTTGRT98S08L736Q
STFNLT01S21B429Z,Nicoletta,Stefanè,2001-11-21,F,CALTANISSETTA,TRAPANI,STFMLT77S07B429J,BZZDFN81H12A669G,DLLRRT99D28A669K
STFRMN02L13B429K,Romana,Stefanè,2002-07-13,F,CALTANISSETTA,CALTANISSETTA,STFMLT77S07B429J,BZZDFN81H12A669G,RBCLSN01C30H294N
DLLRRT99D28A669K,Roberto,Della Chiesa,1999-04-28,M,BARLETTA,TRAPANI,DLLGMN80D20A669A,CPRLND62D20L049W,STFNLT01S21B429Z
DLLTMS99B22A669A,Tommaso,Della Chiesa,1999-02-22,M,BARLETTA,VICENZA,DLLGMN80D20A669A,CPRLND62D20L049W,BTTBBR98E08L781O
GLRLNE02D14A089P,Elena,Aglieri,2002-04-14,F,AGRIGENTO,ENNA,GLRGDU82M06A089V,BZZSMN80T04A669Z,TSCDVD02C17D086C
GLRNRN99L29A089Z,Andreina,Aglieri,1999-07-29,F,AGRIGENTO,FORLI,GLRGDU82M06A089V,BZZSMN80T04A669Z,ZMPBRN01L07A757S
BTTCTL02E28D086Q,Clotilde,Battisti,2002-05-28,F,COSENZA,REGGIO DI CALABRIA,BTTRNT75B15L736P,BZZDLC82M27A669B,LTARNT99P28F979G
BTTPSC99P26D086J,Priscilla,Battisti,1999-09-26,F,COSENZA,COSENZA,BTTRNT75B15L736P,BZZDLC82M27A669B,CCHDTR99L21E783A
LTADNA97D21L378Y,Adone,Alioto,1997-04-21,M,TRENTO,TRENTO,LTAMRO75B18A952B,CPRPLP60E08L049M,STFLRI92P25A952N
LTARRG95E24L378P,Rodrigo,Alioto,1995-05-24,M,TRENTO,PISA,LTAMRO75B18A952B,CPRPLP60E08L049M,TSCCLD01S16I726O
MRCLNE93D16A783Y,Eliana,Muraca,1993-04-16,F,BENEVENTO,BENEVENTO,MRCVTI72S20L736H,CPRGDI59B02L049J,BTTLNE97E30L781P
MRCCGR93L21A783G,Calogero,Muraca,1993-07-21,M,BENEVENTO,PARMA,MRCVTI72S20L736H,CPRGDI59B02L049J,MPLRMR02D19G337Y
BTTGRT98S08L736Q,Greta,Battisti,1998-11-08,F,VENEZIA,VERONA,BTTMRA75H06L736X,CTAFRC66M06A662Q,STFFNN99R20B429A
BTTWTR97T07L736J,Walter,Battisti,1997-12-07,M,VENEZIA,COSENZA,BTTMRA75H06L736X,CTAFRC66M06A662Q,TSCMRA02P30D086Q
BTTFTN96A08L736C,Fortunato,Battisti,1996-01-08,M,VENEZIA,RIETI,BTTMRA75H06L736X,CTAFRC66M06A662Q,CCHMLN01M09E783A
BTTNTS96C06L736P,Anastasia,Battisti,1996-03-06,F,VENEZIA,VENEZIA,BTTMRA75H06L736X,CTAFRC66M06A662Q,LTATVN97S11B354Z
SGGRTT99T11B963H,Rosetta,Saggino,1999-12-11,F,CASERTA,CASERTA,SGGMTT64A18F839K,MPLRMN79T12D548O,STFDNA97M21G888L
SGGCLN00R10B963U,Carolina,Saggino,2000-10-10,F,CASERTA,ANDRIA,SGGMTT64A18F839K,MPLRMN79T12D548O,MRCCLD99H02L750F
SGGDRA02M25B963L,Daria,Saggino,2002-08-25,F,CASERTA,BARI,SGGMTT64A18F839K,MPLRMN79T12D548O,LBRBNT96T11I754E
SGGBRM01R12B963B,Abramo,Saggino,2001-10-12,M,CASERTA,PISTOIA,SGGMTT64A18F839K,MPLRMN79T12D548O,QGLCSM96B09L117P
SGGNDR01S14B963Z,Andrea,Saggino,2001-11-14,M,CASERTA,CALTANISSETTA,SGGMTT64A18F839K,MPLRMN79T12D548O,STFWLM96P21B429R
LTALVR97P20B354O,Alvaro,Alioto,1997-09-20,M,CAGLIARI,PALERMO,LTAPTR78E05B354J,CTAGLD75H21B832D,SLRVNA98D02C351X
LTAWNN97R16B354X,Wanna,Alioto,1997-10-16,F,CAGLIARI,IGLESIAS,LTAPTR78E05B354J,CTAGLD75H21B832D,LBRBRN98P17A462B
LTAMSM96R25B354C,Massimiliana,Alioto,1996-10-25,F,CAGLIARI,CAGLIARI,LTAPTR78E05B354J,CTAGLD75H21B832D,LTACST94L03A952U
LTATLD97P04B354I,Tilde,Alioto,1997-09-04,F,CAGLIARI,OLBIA,LTAPTR78E05B354J,CTAGLD75H21B832D,DLLMRA95B27A662J
LTATVN97S11B354Z,Ottaviano,Alioto,1997-11-11,M,CAGLIARI,VENEZIA,LTAPTR78E05B354J,CTAGLD75H21B832D,BTTNTS96C06L736P
GTTGGI06B07G224T,Gigi,Guttadauro,2006-02-07,M,PADOVA,PADOVA,GTTMCL73M13A783Y,MPLCRN83B12D548X,
GTTPQN03H27G224O,Pasquino,Guttadauro,2003-06-27,M,PADOVA,PADOVA,GTTMCL73M13A783Y,MPLCRN83B12D548X,
LTADAA95P23C351C,Ada,Alioto,1995-09-23,F,CATANIA,ENNA,LTASST77A24C351T,CTAMCL68L28A662X,BZZLDA99A18A669D
MRCCML99D17A859P,Carmelo,Muraca,1999-04-17,M,BIELLA,RIMINI,MRCLNS66P29A859Z,MPLGLN79D04A669O,LTAPIA02H16H223L
MRCMRK00A28A859I,Mirko,Muraca,2000-01-28,M,BIELLA,TERNI,MRCLNS66P29A859Z,MPLGLN79D04A669O,QGLMSM96M01L117W
STFMGH99D03G888S,Margherita,Stefanè,1999-04-03,F,PORDENONE,BOLOGNA,STFNTS76L02G888R,MPLDRA79A18A669H,LBRSRG95P14L500F
STFBRN01P21G888V,Bruna,Stefanè,2001-09-21,F,PORDENONE,PORDENONE,STFNTS76L02G888R,MPLDRA79A18A669H,BTTRNT98B20G713W
MPLPNG02P16D548J,Pierangela,Mapelli,2002-09-16,F,FERRARA,FERRARA,MPLPRI82P07D548S,MRCPML71D29L736W,
MPLDVG02C20D548C,Edvige,Mapelli,2002-03-20,F,FERRARA,MODENA,MPLPRI82P07D548S,MRCPML71D29L736W,QGLNEE95H10L736D
LTARNT99P28F979G,Renato,Alioto,1999-09-28,M,NUORO,REGGIO DI CALABRIA,LTANNE76B05B354P,MPLVEA80S21A669M,BTTCTL02E28D086Q
LTAGDI00E13F979N,Giada,Alioto,2000-05-13,F,NUORO,NUORO,LTANNE76B05B354P,MPLVEA80S21A669M,CCHLRT99M17E783I
LTAMDA01E07F979V,Amedea,Alioto,2001-05-07,F,NUORO,NUORO,LTANNE76B05B354P,MPLVEA80S21A669M,STFRND94A19B429J
BTTRNT98B20G713W,Renato,Battisti,1998-02-20,M,PISTOIA,PORDENONE,BTTLDN73S27I726B,MRCLNE70H28L736U,STFBRN01P21G888V
BTTRGR94T17G713O,Ruggero,Battisti,1994-12-17,M,PISTOIA,PISTOIA,BTTLDN73S27I726B,MRCLNE70H28L736U,SGGRSN98M26G999O
GTTGND93A28F839P,Giocondo,Guttadauro,1993-01-28,M,NAPOLI,MASSA,GTTLPA69A11A783Q,MRCFDN64A21L750R,CTADRT94H04F023R
GTTBBR92C11F839N,Barbara,Guttadauro,1992-03-11,F,NAPOLI,NAPOLI,GTTLPA69A11A783Q,MRCFDN64A21L750R,
STFVNC88T03A952K,Veronica,Stefanè,1988-12-03,F,BOLZANO,BOLZANO,STFRST73B07A952E,MRCGNS68A27L750F,DLLLRT94B19A662D
LBRRSL94S07L500C,Rosalia,Libertini,1994-11-07,F,URBINO,URBINO,LBRCVN77E24A462Y,MRCRLL72L26L407T,CCHRNR92R23G713T
LBRSRG95P14L500F,Sergio,Libertini,1995-09-14,M,URBINO,BOLOGNA,LBRCVN77E24A462Y,MRCRLL72L26L407T,STFMGH99D03G888S
LBRRMN96A31L500N,Romana,Libertini,1996-01-31,F,URBINO,URBINO,LBRCVN77E24A462Y,MRCRLL72L26L407T,BTTCGR95C05I726X
LBRGPP97A10L500P,Giuseppina,Libertini,1997-01-10,F,URBINO,URBINO,LBRCVN77E24A462Y,MRCRLL72L26L407T,SGGGLM84C28F839W
BZZBDT02R01A669Y,Benedetta,Bozzoli,2002-10-01,F,BARLETTA,BARLETTA,BZZRCC79L31A669R,MRCMRA72L09L407L,DLLTMS89P15A509A
BZZNLN02L10A669Z,Napoleone,Bozzoli,2002-07-10,M,BARLETTA,PIACENZA,BZZRCC79L31A669R,MRCMRA72L09L407L,RBCTRS01H01H294E
BZZNTS02A02A669O,Anastasia,Bozzoli,2002-01-02,F,BARLETTA,ANDRIA,BZZRCC79L31A669R,MRCMRA72L09L407L,ZMPCMN91B15H620C
BZZRGN02A02A669O,Regina,Bozzoli,2002-01-02,F,BARLETTA,BARLETTA,BZZRCC79L31A669R,MRCMRA72L09L407L,ZMPDLM98S29L407C
BZZLDA99A18A669D,Aldo,Bozzoli,1999-01-18,M,BARLETTA,ENNA,BZZRCC79L31A669R,MRCMRA72L09L407L,LTADAA95P23C351C
TSCMRA03R24L117F,Maria,Toscanesi,2003-10-24,F,TERNI,TERNI,TSCFPP83L27D542A,MRCGDI71B14L407W,
TSCJCP03C22L117H,Jacopo,Toscanesi,2003-03-22,M,TERNI,TERNI,TSCFPP83L27D542A,MRCGDI71B14L407W,
TSCGBB05T31L117S,Giacobbe,Toscanesi,2005-12-31,M,TERNI,TERNI,TSCFPP83L27D542A,MRCGDI71B14L407W,
TSCGST06R01L117O,Egisto,Toscanesi,2006-10-01,M,TERNI,TERNI,TSCFPP83L27D542A,MRCGDI71B14L407W,
STFBRC90M20E506Z,Beatrice,Stefanè,1990-08-20,F,LECCE,LECCE,STFLFA69H06E506A,MRCNDA67D02A859J,TSCNDR00P01D086B
MRCVSS99E15L103G,Vanessa,Muraca,1999-05-15,F,TERAMO,L'AQUILA,MRCMMM69L06F023K,GLRGRZ80C03A089E,SGGRMN86T19F839I
GLRLCA98T23C351M,Alceo,Aglieri,1998-12-23,M,CATANIA,PIACENZA,GLRLRD79D26A089G,MRCGDE68S30F023H,MRCYND91P27G535K
GLRVLM02C04C351Y,Vilma,Aglieri,2002-03-04,F,CATANIA,CATANIA,GLRLRD79D26A089G,MRCGDE68S30F023H,
GLRLDI98T31C351Q,Lidia,Aglieri,1998-12-31,F,CATANIA,MESSINA,GLRLRD79D26A089G,MRCGDE68S30F023H,CPRPIO96M10E506Z
GLRGNN01M11C351E,Giovanna,Aglieri,2001-08-11,F,CATANIA,CATANIA,GLRLRD79D26A089G,MRCGDE68S30F023H,SGGGLL84R03F839K
GLRRCR01L27C351I,Riccardo,Aglieri,2001-07-27,M,CATANIA,URBINO,GLRLRD79D26A089G,MRCGDE68S30F023H,STFCDD95C01B429Q
CCHMLE92H23G713U,Emilio,Occhipinti,1992-06-23,M,PISTOIA,ROVIGO,CCHMMM67B25G713E,MRCCLI68T15F023Q,ZMPFSC92R26H620A
CCHPSQ91E19G713V,Pasqua,Occhipinti,1991-05-19,F,PISTOIA,PISTOIA,CCHMMM67B25G713E,MRCCLI68T15F023Q,GLRCST99P26B429U
CCHRNR92R23G713T,Raniero,Occhipinti,1992-10-23,M,PISTOIA,URBINO,CCHMMM67B25G713E,MRCCLI68T15F023Q,LBRRSL94S07L500C
CCHMAI93M21G713Q,Maia,Occhipinti,1993-08-21,F,PISTOIA,PISTOIA,CCHMMM67B25G713E,MRCCLI68T15F023Q,
BZZCNN96D28I726Y,Corinna,Bozzoli,1996-04-28,F,SIENA,MASSA,BZZBRM75P05L500C,MRCDFN72E27F023B,STFLVI91D14A952N
BZZBNR98H21I726U,Bernardo,Bozzoli,1998-06-21,M,SIENA,VERCELLI,BZZBRM75P05L500C,MRCDFN72E27F023B,TSCCLD99R26A182K
BZZGTN95H24I726V,Agostina,Bozzoli,1995-06-24,F,SIENA,SIENA,BZZBRM75P05L500C,MRCDFN72E27F023B,DLLNNZ86P13F839I
MRCVCN00R22L750Z,Vincenza,Muraca,2000-10-22,F,VERCELLI,TORINO,MRCCRN63T24L750K,GLRVNZ80H15A089Y,STFLCD99D09L483A
MRCCLD99H02L750F,Claudio,Muraca,1999-06-02,M,VERCELLI,ANDRIA,MRCCRN63T24L750K,GLRVNZ80H15A089Y,SGGCLN00R10B963U
MRCMRA99E16L750T,Mario,Muraca,1999-05-16,M,VERCELLI,PISA,MRCCRN63T24L750K,GLRVNZ80H15A089Y,CTAGLR94A29F023M
SGGGLL84R03F839K,Guglielmo,Saggino,1984-10-03,M,NAPOLI,CATANIA,SGGGAI66D28F839P,CCHNRN66H09G713S,GLRGNN01M11C351E
SGGRMN86T19F839I,Erminio,Saggino,1986-12-19,M,NAPOLI,L'AQUILA,SGGGAI66D28F839P,CCHNRN66H09G713S,MRCVSS99E15L103G
SGGGLM84C28F839W,Girolamo,Saggino,1984-03-28,M,NAPOLI,URBINO,SGGGAI66D28F839P,CCHNRN66H09G713S,LBRGPP97A10L500P
SGGPRD87P18F839A,Paride,Saggino,1987-09-18,M,NAPOLI,CASERTA,SGGGAI66D28F839P,CCHNRN66H09G713S,DLLCRL84P22F839U
MRCVTR88H07A479I,Vittoriano,Muraca,1988-06-07,M,ASTI,PESCARA,MRCPRD68L12A859O,SGGNMO66C10F839Y,GTTVDN01D13G482E
MRCCST88D18A479I,Cristofora,Muraca,1988-04-18,F,ASTI,ORISTANO,MRCPRD68L12A859O,SGGNMO66C10F839Y,STFDNC89P17A952T
MRCDLM87B03A479Z,Adelmo,Muraca,1987-02-03,M,ASTI,VENEZIA,MRCPRD68L12A859O,SGGNMO66C10F839Y,SLRMSS97M23A944G
GLRCPI99A12B429N,Iacopo,Aglieri,1999-01-12,M,CALTANISSETTA,RAGUSA,GLRTNZ80P16A089K,SGGSLL68H14F839I,LBRDZN93T08C351T
GLRCST99P26B429U,Cristoforo,Aglieri,1999-09-26,M,CALTANISSETTA,PISTOIA,GLRTNZ80P16A089K,SGGSLL68H14F839I,CCHPSQ91E19G713V
GLRGNT01D11B429S,Giacinto,Aglieri,2001-04-11,M,CALTANISSETTA,GROSSETO,GLRTNZ80P16A089K,SGGSLL68H14F839I,LBRLDN96A15E202W
GLRNSC99E15B429R,Natascia,Aglieri,1999-05-15,F,CALTANISSETTA,CALTANISSETTA,GLRTNZ80P16A089K,SGGSLL68H14F839I,DLLDBR98R22A662I
QGLSLV98S14L117J,Salvo,Quaglia,1998-11-14,M,TERNI,BARI,QGLVTI77E18L117L,CCHGLI66E26G713Q,DLLCDD94A07A662Z
DLLTMS89P15A509A,Tommaso,Della Chiesa,1989-09-15,M,AVELLINO,BARLETTA,DLLRST65M04A509V,GTTPRI72T01A783O,BZZBDT02R01A669Y
DLLRBN90B01A509D,Rubina,Della Chiesa,1990-02-01,F,AVELLINO,AVELLINO,DLLRST65M04A509V,GTTPRI72T01A783O,STFGLI96L08L424N
LBRDNA95D24G713H,Adone,Libertini,1995-04-24,M,PISTOIA,GROSSETO,LBRCPI77P05A462I,ZMPMIA72E26L750S,BTTRST95P03I726D
LBRLSS95S07G713K,Alessia,Libertini,1995-11-07,F,PISTOIA,PISTOIA,LBRCPI77P05A462I,ZMPMIA72E26L750S,CCLCDD96S07D643E
LBRMRA96H28A271G,Maria,Libertini,1996-06-28,F,ANCONA,REGGIO DI CALABRIA,LBRGSI75A08A462X,STFNTL69H14A952I,STFGLI94M21D704G
GTTGRM90A13D548N,Geremia,Guttadauro,1990-01-13,M,FERRARA,BARLETTA,GTTFLV70P06L407U,ZMPBNL70A16E472Z,DLLFBL96D30A662Y
TSCNDR00P01D086B,Andrea,Toscanesi,2000-09-01,M,COSENZA,LECCE,TSCGTN82H05D122B,GTTCSG73P10A783V,STFBRC90M20E506Z
TSCDVD02C17D086C,Davide,Toscanesi,2002-03-17,M,COSENZA,ENNA,TSCGTN82H05D122B,GTTCSG73P10A783V,GLRLNE02D14A089P
TSCMRA02P30D086Q,Maria,Toscanesi,2002-09-30,F,COSENZA,COSENZA,TSCGTN82H05D122B,GTTCSG73P10A783V,BTTWTR97T07L736J
TSCGDU01B02D086A,Guido,Toscanesi,2001-02-02,M,COSENZA,CAGLIARI,TSCGTN82H05D122B,GTTCSG73P10A783V,LTAMTN95D10B354Q
SLRMRZ98M22C351O,Maurizio,Saler,1998-08-22,M,CATANIA,TRIESTE,SLRLVN74T15F158N,STFMRC72M29A952B,STFRTT96T31L424N
SLRVNA98D02C351X,Vania,Saler,1998-04-02,F,CATANIA,PALERMO,SLRLVN74T15F158N,STFMRC72M29A952B,LTALVR97P20B354O
SLRDRN97L23C351G,Adriano,Saler,1997-07-23,M,CATANIA,SALERNO,SLRLVN74T15F158N,STFMRC72M29A952B,MPLNLT99P17H703Z
GTTTEA91E21F839B,Tea,Guttadauro,1991-05-21,F,NAPOLI,NAPOLI,GTTFNC70M19A783I,ZMPDBR71L26H620S,QGLPQN96D05A952Y
GTTLRC92S22F839D,Ulderica,Guttadauro,1992-11-22,F,NAPOLI,NAPOLI,GTTFNC70M19A783I,ZMPDBR71L26H620S,SGGLVI94A28G999K
GTTGST93E24F839V,Giusto,Guttadauro,1993-05-24,M,NAPOLI,TRAPANI,GTTFNC70M19A783I,ZMPDBR71L26H620S,BZZCSR96C01H163B
GTTGLL91T02F839C,Gisella,Guttadauro,1991-12-02,F,NAPOLI,NAPOLI,GTTFNC70M19A783I,ZMPDBR71L26H620S,
GTTTTN91M20F839D,Ottone,Guttadauro,1991-08-20,M,NAPOLI,AREZZO,GTTFNC70M19A783I,ZMPDBR71L26H620S,SGGRLL00R29H703Y
LBRBNT96T11I754E,Benito,Libertini,1996-12-11,M,SIRACUSA,BARI,LBRSVN75M08C351X,ZMPDLC70R10H620V,SGGDRA02M25B963L
STFRND94A19B429J,Armando,Stefanè,1994-01-19,M,CALTANISSETTA,NUORO,STFDLM78B27B429K,ZMPMNL72S12E472N,LTAMDA01E07F979V
STFSDR97R09B429U,Sandra,Stefanè,1997-10-09,F,CALTANISSETTA,CALTANISSETTA,STFDLM78B27B429K,ZMPMNL72S12E472N,
STFWLM96P21B429R,Wilma,Stefanè,1996-09-21,F,CALTANISSETTA,CALTANISSETTA,STFDLM78B27B429K,ZMPMNL72S12E472N,SGGNDR01S14B963Z
STFBTL96R03B429P,Bartolomeo,Stefanè,1996-10-03,M,CALTANISSETTA,SALERNO,STFDLM78B27B429K,ZMPMNL72S12E472N,SGGSRA99D30H703B
STFCDD98C30B429X,Candida,Stefanè,1998-03-30,F,CALTANISSETTA,SIRACUSA,STFDLM78B27B429K,ZMPMNL72S12E472N,GTTSLV97C08A509V
STFCMN96M18G888M,Carmine,Stefanè,1996-08-18,M,PORDENONE,TERNI,STFLLL78H17G888A,ZMPFMN72B05E472B,TSCSTR99R18L117R
STFDNA97M21G888L,Adone,Stefanè,1997-08-21,M,PORDENONE,CASERTA,STFLLL78H17G888A,ZMPFMN72B05E472B,SGGRTT99T11B963H
STFSRN94H11G888W,Sabrina,Stefanè,1994-06-11,F,PORDENONE,PORDENONE,STFLLL78H17G888A,ZMPFMN72B05E472B,LTACLD99C11H223M
TSCMCL05S13A462H,Marcella,Toscanesi,2005-11-13,F,ASCOLI PICENO,ASCOLI PICENO,TSCLVR83D02D542E,ZMPZRA70H05H620N,
LTASDR01D23G015B,Sandro,Alioto,2001-04-23,M,OLBIA,LECCE,LTAPRI75H21B354O,ZMPRGN82H02C342O,CCLJSC96B01D643M
MRCNZE02C13E463S,Enza,Muraca,2002-03-13,F,LA SPEZIA,LA SPEZIA,MRCVCN65M26L750M,ZMPSMN81M29C342K,CPRPLG97E31E335Q
LTACST94L03A952U,Cristoforo,Alioto,1994-07-03,M,BOLZANO,CAGLIARI,LTANNI77L29A952R,STFPSC73H24E506X,LTAMSM96R25B354C
LTAGTR98A16A952I,Gualtiero,Alioto,1998-01-16,M,BOLZANO,TRANI,LTANNI77L29A952R,STFPSC73H24E506X,DLLCLL99T01A669V
LTALND98A26A952G,Lando,Alioto,1998-01-26,M,BOLZANO,FROSINONE,LTANNI77L29A952R,STFPSC73H24E506X,TSCVTT99C26L117Q
LTASDR96B04A952D,Sandrina,Alioto,1996-02-04,F,BOLZANO,BOLZANO,LTANNI77L29A952R,STFPSC73H24E506X,MPLNNI02C24G337A
LTALNZ95R14A952Z,Lorenza,Alioto,1995-10-14,F,BOLZANO,RAVENNA,LTANNI77L29A952R,STFPSC73H24E506X,MPLRND01T24H703F
CCHLFA02B15E783X,Alfio,Occhipinti,2002-02-15,M,MACERATA,FORLI,CCHDTR65B16G713V,ZMPVTR81M18C342K,DLLLRZ97A13I480Z
CCHMLN01M09E783A,Emiliana,Occhipinti,2001-08-09,F,MACERATA,RIETI,CCHDTR65B16G713V,ZMPVTR81M18C342K,BTTFTN96A08L736C
CCHLRT99M17E783I,Albertino,Occhipinti,1999-08-17,M,MACERATA,NUORO,CCHDTR65B16G713V,ZMPVTR81M18C342K,LTAGDI00E13F979N
CCHFCN00D23E783W,Feliciano,Occhipinti,2000-04-23,M,MACERATA,AVELLINO,CCHDTR65B16G713V,ZMPVTR81M18C342K,GTTLRA94S21A509K
CCHDTR99L21E783A,Demetrio,Occhipinti,1999-07-21,M,MACERATA,COSENZA,CCHDTR65B16G713V,ZMPVTR81M18C342K,BTTPSC99P26D086J
SGGSRA99D30H703B,Sara,Saggino,1999-04-30,F,SALERNO,SALERNO,SGGVGL64L15F839J,ZMPMNL81D12C342C,STFBTL96R03B429P
SGGMNL01S20H703U,Emanuela,Saggino,2001-11-20,F,SALERNO,SALERNO,SGGVGL64L15F839J,ZMPMNL81D12C342C,DLLLND98E05I480D
SGGRLL00R29H703Y,Rosella,Saggino,2000-10-29,F,SALERNO,AREZZO,SGGVGL64L15F839J,ZMPMNL81D12C342C,GTTTTN91M20F839D
SGGPNI98T14H703E,Pina,Saggino,1998-12-14,F,SALERNO,SALERNO,SGGVGL64L15F839J,ZMPMNL81D12C342C,LBRGUO96S02C351D
CCLCDD96S07D643E,Candido,Accolli,1996-11-07,M,FOGGIA,PISTOIA,CCLCSS66L25D643I,STFRNI73T20G888W,LBRLSS95S07G713K
CCLJSC96B01D643M,Jessica,Accolli,1996-02-01,F,FOGGIA,LECCE,CCLCSS66L25D643I,STFRNI73T20G888W,LTASDR01D23G015B
CCLSTR95S12D643D,Ester,Accolli,1995-11-12,F,FOGGIA,LECCE,CCLCSS66L25D643I,STFRNI73T20G888W,STFCMN91L03A952L
