school,cf
Scuola Elementare di ASTI,RVGCRL17S23A479A
Scuola Elementare di ASTI,RVGVTR15P20A479O
Scuola Elementare di ASTI,RVGFNC14D19A479L
Scuola Elementare di ASTI,RVGMND14L08A479N
Scuola Elementare di ASTI,FFNLDN18P16A479D
Scuola Elementare di ASTI,FFNLFA18M12A479B
Scuola Elementare di ASTI,FFNNRN16C31A479T
Scuola Elementare di ASTI,BNTDNT14T07A479L
Scuola Elementare di ASTI,BNTSFN15D10A479S
Scuola Elementare di ASTI,BNTMRZ14C15A479C
Scuola Elementare di ASTI,FRNLCU14S21A479L
Scuola Elementare di ASTI,FRNGBB17A25A479N
Scuola Media di SALERNO,CRDLNE13E15H703R
Scuola Media di SALERNO,CRDGFR13A22H703D
Scuola Media di SALERNO,CRDSNT10S26H703Q
Scuola Media di SALERNO,CRDLIA11M22H703M
Scuola Media di SALERNO,CRDSRA11P30H703Q
Scuola Media di SALERNO,CRDMDA13A13H703N
Scuola Media di SALERNO,GDNGRL11T27H703Y
Scuola Media di SALERNO,GDNCNZ13R07H703O
Scuola Media di SALERNO,BYULIA12C04H703N
Scuola Media di SALERNO,BYUBNT11M25H703P
Scuola Media di SALERNO,BYUDZN12H10H703B
Scuola Media di SALERNO,BYUGRG11A28H703K
Scuola Media di SALERNO,BYUVTR12C21H703C
Scuola Media di SALERNO,LUISFN13A25H703H
Scuola Media di SALERNO,LUIFDN12C19H703Y
Scuola Media di SALERNO,LUIMNN11D22H703E
Scuola Media di SALERNO,LUICST11A01H703F
Scuola Media di SALERNO,LUIBDT12H28H703L
Scuola Media di SALERNO,LUIMLE12H29H703G
Scuola Media di SALERNO,LUIGCH12C22H703C
Scuola Media di SALERNO,SMNNLT13M18H703W
Scuola Media di SALERNO,PRTFCT12H12H703P
Scuola Media di SALERNO,PRTRMN11A07H703C
Scuola Elementare di CUSIO,MNCVSC16P22D223A
Scuola Elementare di CUSIO,MNCGTV15S12D223N
Scuola Elementare di CUSIO,MNCGPR18A01D223K
Scuola Elementare di CUSIO,MNCMRZ16A16D223R
Scuola Elementare di CUSIO,GRDRST16T15D223I
Scuola Elementare di CUSIO,GRDMRN16A30D223W
Scuola Elementare di CUSIO,TRBSNO16A12D223J
Scuola Elementare di CUSIO,TRBFST17R28D223Q
Scuola Elementare di CUSIO,TRBGNZ17P01D223F
Scuola Elementare di CUSIO,TRBMRK13S20D223S
Scuola Elementare di CUSIO,NDERSR18M09D223M
Scuola Elementare di CUSIO,NDETLL18D29D223R
Scuola Elementare di CUSIO,NDENDA16H26D223F
Scuola Elementare di CUSIO,BRTFTM16E11D223R
Scuola Elementare di CUSIO,BRTFST16R27D223N
Scuola Elementare di CUSIO,BRGFLV17T07D223N
Scuola Media di IMPERIA,GCMTDD10T29E290Q
Scuola Media di IMPERIA,GCMMNI11B23E290A
Scuola Media di IMPERIA,GCMMTN12S30E290H
Scuola Media di IMPERIA,GCMGBB13B10E290O
Scuola Media di IMPERIA,GNGDRO12H24E290N
Scuola Media di IMPERIA,GNGGTT12D18E290A
Scuola Media di IMPERIA,GNGLRD11E05E290D
Scuola Media di IMPERIA,GNGBGD13A17E290Z
Scuola Media di IMPERIA,GNGCMN12L28E290S
Scuola Elementare di TREVISO,DRAMTN17B15L407S
Scuola Elementare di TREVISO,DRALRC15R30L407W
Scuola Elementare di TREVISO,CRTMRG16D29L407F
Scuola Elementare di TRIESTE,LNAGRN15L20L424K
Scuola Elementare di TRIESTE,CHIMCL18A15L424J
Scuola Elementare di TRIESTE,CHITVN17B13L424P
Scuola Elementare di TRIESTE,CHISLV17R25L424F
Scuola Elementare di TRIESTE,CHRLRD15S24L424X
Scuola Elementare di TRIESTE,CHRFNN15L08L424N
Scuola Elementare di TRIESTE,PRTFLC18E05L424C
Scuola Elementare di TRIESTE,PRTDNI14L30L424E
Scuola Elementare di TRIESTE,PRTMRA18R05L424K
Scuola Elementare di TRIESTE,RGRSDR17R14L424Q
Scuola Elementare di TRIESTE,CHRBNL18D19L424Q
Scuola Elementare di TRIESTE,CHRCLL14T04L424R
Scuola Elementare di TRIESTE,FRRPSC17R01L424J
Scuola Elementare di TRIESTE,FRRDRN14D11L424B
Scuola Elementare di TRIESTE,FRRNMO17H03L424P
Scuola Elementare di TRIESTE,FRRMSM16H13L424G
Scuola Elementare di TRIESTE,BRGGDN16D17L424Q
Scuola Elementare di TRIESTE,BRGLCN16H24L424W
Scuola Elementare di TRIESTE,BRGFDN14L03L424Z
Scuola Elementare di TRIESTE,CDSGTN15A02L424R
Scuola Elementare di TRIESTE,CDSCST17D04L424D
Scuola Elementare di BELLUNO,DRANCN18S09A757G
Scuola Elementare di BELLUNO,DRAFNC13S19A757Y
Scuola Elementare di BELLUNO,DRATMS14L06A757M
Scuola Elementare di BELLUNO,DRAVGN17M03A757P
Scuola Elementare di BELLUNO,DRAMGN14E23A757W
Scuola Elementare di BELLUNO,NCLVTR18B02A757A
Scuola Elementare di BELLUNO,NCLMLA14S14A757D
Scuola Elementare di BELLUNO,CRMDRA14M29A757F
Scuola Elementare di BELLUNO,MPCDMN17T29A757Z
Scuola Elementare di BELLUNO,MPCLSI16B16A757A
Scuola Elementare di BELLUNO,MPCLVO18H10A757J
Scuola Elementare di BELLUNO,MPCDLR16P04A757P
Scuola Elementare di BELLUNO,MPCNTS14D07A757U
Scuola Media di PERUGIA,BFLFNC11H12G478X
Scuola Media di PERUGIA,BFLRLN13C29G478L
Scuola Media di PERUGIA,BFLTZN12M09G478Q
Scuola Media di PERUGIA,BFLSLD11T24G478X
Scuola Media di PERUGIA,BFLMNL11S13G478K
Scuola Media di PERUGIA,RGMGLI12H19G478C
Scuola Media di PERUGIA,RGMZEI11B25G478B
Scuola Media di PERUGIA,RGMGCM11L02G478C
Scuola Media di PERUGIA,BLZGCM13L30G478F
Scuola Media di PERUGIA,BLZMRZ12M22G478R
Scuola Media di PERUGIA,BLZLSI12E14G478X
Scuola Media di PADOVA,RIUMNI11P08G224N
Scuola Media di PADOVA,RIUVNA11M14G224U
Scuola Media di PADOVA,RIUTNA13D16G224P
Scuola Media di PADOVA,RIULMO11L05G224L
Scuola Media di PADOVA,RIULLL13H20G224Z
Scuola Media di PADOVA,TDSLCA12H21G224K
Scuola Media di PADOVA,TDSCLD12P23G224W
Scuola Media di PADOVA,TDSRSR12R18G224X
Scuola Elementare di SONDRIO,MNCRTD17P14I829K
Scuola Elementare di SONDRIO,MNCFNN16S21I829O
Scuola Elementare di SONDRIO,MNCSMN17D04I829C
Scuola Elementare di SONDRIO,MNCSDR17C23I829T
Scuola Elementare di SONDRIO,FRNRND16A16I829H
Scuola Elementare di SONDRIO,FRNLCN18C03I829T
Scuola Elementare di SONDRIO,FRNLCA15D11I829Z
Scuola Media di BOLZANO,CPPVIO13R31A952S
Scuola Media di BOLZANO,GRIFRZ11L26A952M
Scuola Media di BOLZANO,GRIGNE11E17A952K
Scuola Media di BOLZANO,GRILSE12E28A952L
Scuola Media di BOLZANO,SCTMMM12S23A952U
Scuola Media di BOLZANO,SCTDBR12D19A952G
Scuola Media di BOLZANO,SCTDRT11A14A952X
Scuola Media di BOLZANO,SCTDLE12H22A952S
Scuola Media di BOLZANO,SCTNTL11D21A952D
Scuola Elementare di LATINA,MNCSNT14E27E472U
Scuola Elementare di LATINA,MNCGRT14M04E472V
Scuola Elementare di LATINA,MSCVTR16M08E472F
Scuola Elementare di LATINA,MSCPPP18S09E472K
Scuola Elementare di LATINA,MSCLRN15P09E472X
Scuola Elementare di LATINA,MSCGLL15A12E472V
Scuola Elementare di LATINA,MSCBDT17A22E472E
Scuola Elementare di LATINA,GRNDIA18C10E472K
Scuola Elementare di LATINA,GRNPCC16E30E472O
Scuola Elementare di LATINA,GRNDTT14C06E472H
Scuola Elementare di LATINA,GRNLNE16A08E472I
Scuola Elementare di LATINA,SGLLNI15L21E472T
Scuola Elementare di LATINA,DRALNZ15B11E472I
Scuola Elementare di LATINA,DRALCN17A11E472K
Scuola Elementare di OSSOLA,MNCRMN14T12D223V
Scuola Elementare di OSSOLA,MNCLGO16H16D223C
Scuola Elementare di OSSOLA,MTUMLE14H28D223C
Scuola Elementare di OSSOLA,SLVVTR14S30D223S
Scuola Elementare di OSSOLA,SLVDNT18R21D223G
Scuola Elementare di OSSOLA,SLVTTR18D01D223L
Scuola Elementare di OSSOLA,SLVMGH17L20D223U
Scuola Elementare di OSSOLA,SLVDLE15E21D223Z
Scuola Elementare di OSSOLA,BNTLRT15T19D223T
Scuola Elementare di OSSOLA,CRMFPP16C16D223D
Scuola Elementare di OSSOLA,CRMLDR15P21D223Y
Scuola Media di CUSIO,MTULRT12S19D223O
Scuola Media di CUSIO,MTUTTR10T11D223F
Scuola Media di CUSIO,MTUNZE12T07D223N
Scuola Media di CUSIO,MTUNLN11T28D223G
Scuola Media di CUSIO,MTULBR13M21D223R
Scuola Media di CUSIO,MTULSN10T13D223Y
Scuola Media di CUSIO,GRDLHN13H03D223U
Scuola Media di CUSIO,PNGCLS13C02D223H
Scuola Media di CUSIO,PNGMCL12E30D223N
Scuola Media di CUSIO,PNGGGI11P27D223W
Scuola Media di CUSIO,PNGCCT13D18D223A
Scuola Media di CUSIO,CCGCMN11B28D223Q
Scuola Media di CUSIO,CCGLBN12A13D223W
Scuola Media di CUSIO,CCGTLI13D29D223Z
Scuola Superiore di BARI,BNMSMN10E14A662V
Scuola Media di ASTI,LNRLHN12E01A479K
Scuola Media di ASTI,LNRGAI11C17A479X
Scuola Media di ASTI,LNRLVI11T10A479E
Scuola Media di ASTI,LNRPPP12M16A479B
Scuola Media di ASTI,LNRMRM13L03A479E
Scuola Media di ASTI,MPLBRC11A17A479B
Scuola Media di ASTI,MPLPML13D18A479S
Scuola Media di ASTI,MPLLVI13L12A479M
Scuola Media di ASTI,MPLLRT11A07A479B
Scuola Media di ASTI,MPLVGN12L31A479C
Scuola Media di ASTI,MPLNRO13P07A479C
Scuola Media di ASTI,MPLVRN11P08A479J
Scuola Media di ASTI,FFNDNI10S26A479F
Scuola Media di ASTI,FFNTVN13B25A479F
Scuola Media di ASTI,FFNLCA12B08A479I
Scuola Media di ASTI,FFNDTT10T14A479F
Scuola Media di BRESCIA,LNRVCN12S30B157B
Scuola Media di BRESCIA,GBBPRN12L16B157T
Scuola Elementare di NOVARA,MNCNLT17L28F952K
Scuola Elementare di NOVARA,MNCGLE15T15F952P
Scuola Elementare di NOVARA,MNCLRC17B01F952W
Scuola Elementare di NOVARA,MNCMRN15P03F952Q
Scuola Elementare di NOVARA,GLVGPP18H29F952O
Scuola Elementare di NOVARA,RVGVLI15E28F952S
Scuola Elementare di NOVARA,RVGLMP16S01F952M
Scuola Elementare di NOVARA,VLCZRR17E31F952B
Scuola Elementare di NOVARA,VLCPIO16P16F952F
Scuola Elementare di NOVARA,SNTNBL16S16F952D
Scuola Elementare di NOVARA,SNTCSG17C08F952W
Scuola Elementare di NOVARA,SNTCRI16L30F952D
Scuola Media di GROSSETO,CMPGDN13M26E202U
Scuola Media di GROSSETO,CMPDRA11A28E202Q
Scuola Media di GROSSETO,CMPLRT13A02E202D
Scuola Media di GROSSETO,CMPRST13H02E202D
Scuola Media di GROSSETO,FRNSDI13C02E202G
Scuola Media di GROSSETO,FRNMTN13H29E202Q
Scuola Media di GROSSETO,FRNDVD12E12E202T
Scuola Media di GROSSETO,FRNDAA13D23E202J
Scuola Media di GROSSETO,SGLGST13B23E202H
Scuola Media di GROSSETO,SGLGMN11R22E202L
Scuola Media di GROSSETO,SGLGZN12D03E202Q
Scuola Media di GROSSETO,SGLLRD11E13E202Y
Scuola Media di GROSSETO,SGLCST11L17E202O
Scuola Media di GROSSETO,PRTSRA11S30E202N
Scuola Media di GROSSETO,PRTMTA12H13E202X
Scuola Media di CREMONA,GBBLBR13B24D150P
Scuola Media di CREMONA,GBBFTN13H25D150O
Scuola Media di CREMONA,GBBMRA12M26D150E
Scuola Media di CREMONA,TRBLRG12C14D150E
Scuola Media di CREMONA,TRBGDU11B05D150J
Scuola Media di CREMONA,TRBLVC11C16D150H
Scuola Media di CREMONA,TRBGTN12H02D150T
Scuola Superiore di FROSINONE,CMPNLC09T23D810S
Scuola Superiore di FROSINONE,CMPPRM09T07D810Q
Scuola Superiore di FROSINONE,CMPMRN10R22D810O
Scuola Superiore di FROSINONE,CMPRRT10E28D810O
Scuola Superiore di FROSINONE,ZRBLRG07P27D810P
Scuola Superiore di FROSINONE,ZRBDTL08E01D810G
Scuola Superiore di FROSINONE,ZRBSDR08P15D810C
Scuola Superiore di FROSINONE,LCNRTT09S11D810T
Scuola Superiore di FROSINONE,LCNSDR10R03D810D
Scuola Superiore di FROSINONE,LCNBND09R12D810U
Scuola Superiore di FROSINONE,LCNTLD09A22D810Q
Scuola Superiore di FROSINONE,SCRPIA08S15D810L
Scuola Superiore di FROSINONE,SCRLCA08T24D810S
Scuola Superiore di FROSINONE,SCRDNI10H26D810H
Scuola Media di BELLUNO,DRATNO13B04A757Z
Scuola Media di BELLUNO,DRALTZ11T06A757O
Scuola Media di BELLUNO,DRACML11H18A757D
Scuola Media di BELLUNO,DRALND12P13A757H
Scuola Media di BELLUNO,TMSMRN13H22A757H
Scuola Media di BELLUNO,TMSSFN11B21A757U
Scuola Media di BELLUNO,TMSMMI13C24A757E
Scuola Elementare di AREZZO,CRDRLA14H24A390V
Scuola Elementare di AREZZO,FFNSLM15B16A390G
Scuola Elementare di AREZZO,FFNGLI14T02A390S
Scuola Elementare di AREZZO,RTAVNT18A02A390P
Scuola Elementare di AREZZO,RTARRA17L14A390N
Scuola Elementare di AREZZO,CDSCCL15A08A390C
Scuola Elementare di AREZZO,CDSCSR16A31A390A
Scuola Media di SAVONA,BFLPRM11T24I480S
Scuola Media di SAVONA,BFLFDR12D25I480K
Scuola Media di SAVONA,BFLMRG13L16I480G
Scuola Media di SAVONA,BFLLRC11L17I480B
Scuola Media di SAVONA,BFLBNL13P26I480M
Scuola Media di SAVONA,LGHLHN12T07I480X
Scuola Media di SAVONA,LGHGLN10T23I480V
Scuola Media di SAVONA,LGHLRN13B14I480U
Scuola Media di SAVONA,LGHMLD13R07I480W
Scuola Media di SAVONA,LGHLLE12P17I480R
Scuola Media di SAVONA,GNGCLR11P03I480Z
Scuola Media di SAVONA,BNTVLR13E25I480S
Scuola Media di SAVONA,BNTFNC13D14I480W
Scuola Media di SAVONA,BNTMRT11T07I480U
Scuola Media di SAVONA,BNTDLD13E25I480M
Scuola Media di SAVONA,DFRPLP13A02I480L
Scuola Media di SAVONA,DFRVGL13E10I480D
Scuola Media di SAVONA,DFRLVC12M01I480L
Scuola Elementare di SAVONA,BFLLVN14H01I480M
Scuola Elementare di SAVONA,BFLMRC16C31I480T
Scuola Elementare di SAVONA,BFLNNE17E27I480D
Scuola Elementare di SAVONA,BFLDNT17B08I480Z
Scuola Elementare di SAVONA,SRKMND13S15I480R
Scuola Elementare di SAVONA,SRKSST17R04I480A
Scuola Elementare di SAVONA,SRKPLA17H29I480T
Scuola Elementare di SAVONA,SRKGRG14E29I480J
Scuola Elementare di SAVONA,SRKVSC14S11I480F
Scuola Elementare di SAVONA,FFNMNL14M31I480C
Scuola Elementare di SAVONA,FFNLGU18D05I480I
Scuola Elementare di SAVONA,FFNGRG18P04I480A
Scuola Elementare di SAVONA,VLCNTS15D15I480T
Scuola Elementare di SAVONA,DVZPCC16B04I480K
Scuola Elementare di SAVONA,DVZCCT18B15I480V
Scuola Elementare di SAVONA,MPCVVN16A08I480E
Scuola Elementare di SAVONA,MPCMSM16L14I480Q
Scuola Elementare di SAVONA,MPCFNZ16B22I480X
Scuola Elementare di SAVONA,MPCCSS18B22I480H
Scuola Elementare di SAVONA,MPCVSC16C17I480Y
Scuola Elementare di SAVONA,LUINLM18S06I480D
Scuola Elementare di SAVONA,LUIPNG17L29I480O
Scuola Elementare di SAVONA,LUILEA13T27I480V
Scuola Elementare di SAVONA,LUIGNI18A25I480X
Scuola Elementare di SAVONA,LUICMB18R13I480K
Scuola Elementare di SAVONA,LUILVS16E01I480T
Scuola Elementare di SAVONA,LUISNT16E07I480C
Scuola Elementare di SAVONA,LUICST16T13I480A
Scuola Elementare di SAVONA,CRTMRC14A28I480G
Scuola Elementare di SAVONA,BRSNNZ14H16I480U
Scuola Elementare di SALERNO,CRDGTN17C30H703F
Scuola Elementare di SALERNO,CRDLDL18B09H703O
Scuola Elementare di SALERNO,CRDGGI15D22H703E
Scuola Elementare di SALERNO,CRDLDN14T13H703N
Scuola Elementare di SALERNO,CPZRSN17C23H703H
Scuola Elementare di SALERNO,CPZRMN14S07H703Z
Scuola Elementare di SALERNO,CPZVLR17R17H703T
Scuola Elementare di SALERNO,CPZRND15S22H703I
Scuola Elementare di SALERNO,CPZGTN13S26H703J
Scuola Elementare di CREMONA,GBBGDI14P29D150Y
Scuola Elementare di CREMONA,GBBMTT18C25D150U
Scuola Elementare di CREMONA,GBBSFO14P29D150W
Scuola Elementare di CREMONA,GBBSCR15R10D150C
Scuola Elementare di CREMONA,GBBVDN14H20D150M
Scuola Elementare di CREMONA,BNTSFO15P03D150S
Scuola Elementare di CREMONA,BNTMTN18P02D150N
Scuola Elementare di CREMONA,BNTLSU17B21D150K
Scuola Elementare di CREMONA,BNTSRI15T22D150S
Scuola Elementare di CREMONA,BRBRFL16D14D150M
Scuola Elementare di CREMONA,BRBBLD17C01D150U
Scuola Elementare di CREMONA,LLSPNI17P28D150G
Scuola Elementare di CREMONA,LLSNLC16E30D150W
Scuola Elementare di RAVENNA,ZCCWTR18B13H199G
Scuola Elementare di RAVENNA,ZCCGTV15M28H199W
Scuola Elementare di RAVENNA,LZZNDR17P10H199I
Scuola Elementare di RAVENNA,LZZDMN14H25H199D
Scuola Elementare di RAVENNA,LZZNTN18P29H199H
Scuola Elementare di RAVENNA,LZZRNL16L11H199S
Scuola Elementare di RAVENNA,LZZRMN15D09H199O
Scuola Elementare di RAVENNA,GRBVSC15B17H199X
Scuola Elementare di RAVENNA,GRBLDN16A25H199S
Scuola Elementare di RAVENNA,GRBPCC16L16H199N
Scuola Elementare di RAVENNA,GRBDRN14S26H199W
Scuola Elementare di RAVENNA,GRBNLT18L14H199X
Università di NUORO,FVAPMR91C31F979N
Università di NUORO,FVALEA90R05F979V
Università di NUORO,FVASAI03L21F979W
Università di NUORO,PRGLEO98M09F979J
Università di NUORO,PRGGLL94M10F979Z
Università di NUORO,PRGFPP97E28F979O
Università di NUORO,PRGRSR94T03F979Z
Università di NUORO,PRTVNI93L23F979S
Università di NUORO,FSSCRL02R24F979K
Scuola Superiore di CROTONE,NSIVGN08B04D122E
Scuola Superiore di CROTONE,NSIFSC07C05D122I
Scuola Superiore di CROTONE,NSIMLT08D21D122Q
Scuola Superiore di CROTONE,NSILVN08H17D122P
Scuola Superiore di CROTONE,NSISLN08A04D122R
Scuola Superiore di CROTONE,MFFTMS09L24D122W
Scuola Superiore di CROTONE,MFFDND08T11D122S
Scuola Superiore di CROTONE,MFFDRS09E16D122G
Università di PESCARA,TRLLIO01D04G482V
Università di PESCARA,TRLMRK01C13G482E
Università di PESCARA,TRLMRN00R09G482W
Università di PESCARA,TRLRGN02C04G482V
Università di PESCARA,TRLLRT00M17G482I
Università di PESCARA,MGARCE00C05G482U
Università di PESCARA,MGALBR00D07G482C
Università di PESCARA,TRLLNS04P13G482Y
Università di PESCARA,TRLSDR02R04G482V
Università di PESCARA,TRLGTV00T31G482S
Università di PESCARA,TRMFNN00B13G482U
Università di PESCARA,TRMFCN99S08G482F
Università di PESCARA,TRMRSL01S07G482S
Università di PESCARA,TLLZTI98T25G482G
Università di PESCARA,TRMGIO96D27G482N
Università di PESCARA,TRMSRL96E14G482E
Università di PESCARA,TRMMCR95D14G482Y
Università di PESCARA,BRBMSM05P24G482X
Università di PESCARA,BRBRLL05R03G482U
Università di PESCARA,BRBMRT04T25G482O
Università di PESCARA,BRBNRO02S20G482U
Università di PESCARA,BRBLNE05M14G482K
Università di PESCARA,BNDVGL99S04G482Q
Università di PESCARA,BNDMGH02C20G482P
Università di PESCARA,BNDRSO00R30G482A
Università di PESCARA,CNINRC02C05G482F
Università di PESCARA,CNILFA99P09G482N
Università di PESCARA,CNIDRD04C16G482B
Università di PESCARA,CNIFDL04L25G482I
Università di PESCARA,CNIMRA03E22G482B
Università di PESCARA,CNIBRT04E01G482D
Università di PESCARA,CNICPI05H12G482D
Università di PESCARA,CNINLT05D10G482M
Università di PESCARA,CNITDD05D17G482V
Università di PESCARA,FLESRN00C05G482P
Università di PESCARA,BVOGRZ03L03G482K
Università di PESCARA,BVOMRN04R28G482X
Università di PESCARA,BVONZE03S02G482R
Università di PESCARA,BVOGND03M12G482N
Università di PESCARA,BRTLLD02H06G482I
Università di PESCARA,BRTWNN00P21G482Q
Scuola Superiore di VERONA,SLMMRM07C04L781B
Scuola Superiore di VERONA,SLMVLI07D23L781E
Scuola Superiore di VERONA,SLMGTN08D18L781Q
Scuola Superiore di VERONA,MPLLVS10L24L781X
Scuola Superiore di VERONA,BRTNLN07A22L781J
Scuola Superiore di VERONA,BRTLNE06T08L781M
Scuola Superiore di VERONA,BRTDLF08D16L781H
Scuola Superiore di VERONA,BRTRMN07A26L781L
Università di BENEVENTO,MGAPRZ04A08A783A
Università di BENEVENTO,CLBMRA02H01A783K
Università di BENEVENTO,CLBRGN01E05A783N
Università di BENEVENTO,CLBMRT01S18A783R
Università di BENEVENTO,CLBRNN99C05A783Q
Università di BENEVENTO,FLLLDN01R13A783F
Università di BENEVENTO,FLLNRN02A13A783C
Università di BENEVENTO,LVNWTR03R13A783U
Università di BENEVENTO,LVNDLN05T07A783E
Università di BENEVENTO,LVNLSE05E18A783J
Università di BENEVENTO,MRVDTR90P26A783W
Università di BENEVENTO,CPRMRA06B09A783E
Università di BENEVENTO,CPRNLN05R24A783L
Università di BENEVENTO,CPRNRC06A07A783E
Università di BENEVENTO,BLDCCL02L07A783O
Università di BENEVENTO,BLDMRC02L24A783M
Università di BENEVENTO,BLDMIA04B28A783D
Università di TREVISO,NSIMLA01R19L407M
Università di TREVISO,NSINRN99A01L407D
Università di TREVISO,BRBRZO05C18L407J
Università di TREVISO,BRBLRT04T08L407A
Università di TREVISO,BRBVSS04L28L407F
Università di TREVISO,BVNDVD01R05L407N
Università di TREVISO,BVNMRZ99R04L407O
Università di TREVISO,BVNNLC99R24L407Q
Università di TREVISO,DFRGPR90C22L407M
Università di TREVISO,DLPCST91D04L407Z
Università di TERAMO,MGALVC05H22L103S
Università di TERAMO,CRMNMO05T03L103A
Università di TERAMO,CRMCRI05B20L103H
Università di TERAMO,CRMLDL05T18L103X
Università di TERAMO,CRMRZR06E09L103W
Università di TERAMO,CRMLNE03R03L103I
Università di TERAMO,CRMTDD06P11L103U
Università di TERAMO,MLLCTN98L03L103Q
Università di TERAMO,BRDGRL92S16L103O
Università di TERAMO,CNINRO00T22L103I
Università di LATINA,BNGVSS03B08E472X
Università di LATINA,BNGLRI06B21E472L
Università di LATINA,BNGSDR03A12E472C
Università di LATINA,PRMLCA00T15E472E
Università di LATINA,PRMVND00H29E472S
Università di LATINA,PRMLNZ98T25E472V
Università di LATINA,PRMCVN02M03E472M
Università di LATINA,LDBLRD02P07E472Z
Università di LATINA,LDBGNS00P24E472N
Università di LATINA,LDBPTR02H24E472F
Università di LATINA,LDBLND02P03E472B
Università di LATINA,LNUCCL01A01E472B
Università di LATINA,LDBMDA06S09E472N
Università di LATINA,LDBLIO05P19E472D
Università di LATINA,MRNLDN04A19E472J
Università di LATINA,MRNGFR05T24E472R
Università di LATINA,NRDNGL00H08E472P
Università di LATINA,NRDNBR99A22E472H
Università di LATINA,NRDSST02S06E472S
Università di LATINA,NRDMRN02L28E472A
Università di LATINA,NRDMTN00L12E472P
Università di LATINA,MGNMRK91S16E472T
Università di LATINA,LCCGVR94S21E472E
Università di LATINA,FRNLRT99B24E472Y
Università di LATINA,LBRLBA03D26E472Z
Università di LATINA,LBRMRC06R31E472A
Università di LATINA,LBRGRL04B07E472H
Università di LATINA,LBRRZR06H10E472R
Università di LATINA,SGRRNN05D26E472B
Università di LATINA,SGRLIA03P10E472M
Università di LATINA,SGRGLI03E22E472L
Università di LATINA,SGRSDR05M27E472G
Università di MACERATA,MSANNZ06P28E783G
Università di MACERATA,MSASMN04R19E783B
Università di MACERATA,MSCGFR94T19E783S
Università di MACERATA,MSCRMO03R19E783E
Università di MACERATA,ZDRLDL98S19E783G
Università di MACERATA,LUIRCR91C19E783L
Università di MACERATA,LUILNS89T19E783K
Università di MACERATA,RNIFRS06D18E783L
Università di MACERATA,RNIRMN04B17E783R
Università di MACERATA,RNISST03R03E783O
Università di MACERATA,RNIRHL03P10E783A
Università di VITERBO,BRZLMP05B10M082O
Università di VITERBO,BRZPRN04S28M082K
Università di VITERBO,BRZCLN05M15M082T
Università di VITERBO,MSAGTT00D07M082X
Università di VITERBO,MSAGDI01D04M082Y
Università di VITERBO,ZRBGLL03L14M082B
Università di VITERBO,GRNMMM89C25M082M
Università di VITERBO,GRNRMI93A09M082L
Università di VITERBO,FRNPSC05B15M082V
Università di VITERBO,FRNRML04D23M082N
Università di VITERBO,FRNVVN03A12M082B
Università di VITERBO,FRNLNE04L26M082H
Università di VITERBO,BGNDNL00D27M082J
Università di VITERBO,BGNMRA01S29M082F
Università di VITERBO,BGNRND01S06M082R
Università di VITERBO,CTNSRI04P23M082R
Università di VITERBO,CTNZRA03L17M082Z
Università di VITERBO,CTNLSS04L20M082T
Università di VITERBO,BRTFLV98T29M082X
Università di VITERBO,BRTFMN02H07M082A
Università di GROSSETO,BRZDRN00T02E202U
Università di GROSSETO,BRZVTR99S20E202V
Università di GROSSETO,BRZLLN02H09E202T
Università di GROSSETO,BRZCSR06H30E202J
Università di GROSSETO,BRZNGL03P22E202D
Università di GROSSETO,LDBTSC94P11E202F
Università di GROSSETO,RSSLRD03D03E202O
Università di GROSSETO,RSSJCP03M05E202M
Università di GROSSETO,SGHLRD01R13E202L
Università di GROSSETO,PCRCST04L19E202N
Università di GROSSETO,PCRLNS06B24E202Q
Università di GROSSETO,FRLRNO03C10E202G
Università di GROSSETO,FRLTTI05B01E202R
Università di GROSSETO,FRLGDU01P05E202V
Università di REGGIO DI CALABRIA,NSITVN06H30H224U
Università di REGGIO DI CALABRIA,NSIGLL04R10H224M
Università di REGGIO DI CALABRIA,NSIRSO03R26H224W
Università di REGGIO DI CALABRIA,BLDFTN05E12H224Q
Università di REGGIO DI CALABRIA,GLVGNS91H23H224V
Università di REGGIO DI CALABRIA,BVNMGN99H25H224K
Università di REGGIO DI CALABRIA,BVNMMM00R04H224U
Università di REGGIO DI CALABRIA,CCCSLD00T08H224Q
Università di REGGIO DI CALABRIA,CCCMRC00T23H224D
Università di REGGIO DI CALABRIA,CCCLSU02D21H224M
Università di REGGIO DI CALABRIA,CCCSNL02M14H224L
Università di REGGIO DI CALABRIA,VLLGNN99P01H224Q
Università di REGGIO DI CALABRIA,VLLVNN01M09H224N
Università di REGGIO DI CALABRIA,BRTLLN94C26H224Z
Università di REGGIO DI CALABRIA,BRTLRT94C02H224X
Università di REGGIO DI CALABRIA,BVORST04M10H224Y
Università di REGGIO DI CALABRIA,BVOVVN03B20H224C
Università di REGGIO DI CALABRIA,VRTRSR05S01H224Y
Università di REGGIO DI CALABRIA,VRTLSN04T01H224P
Università di REGGIO DI CALABRIA,VRTGLL06M30H224K
Università di REGGIO DI CALABRIA,VRTFNC04T24H224R
Università di REGGIO DI CALABRIA,FRFVGN91L18H224F
Università di VARESE,TSNRSL02A29L682C
Università di VARESE,CRNBRM04S16L682F
Università di VARESE,TRPRBN04R16L682C
Università di VARESE,TRPMLE03M18L682F
Università di VARESE,TRPMLN03D15L682X
